hundekehlesee,52.48216791153722,13.258697879323416,lake,7.0979,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
grunewaldsee,52.47004030743475,13.262394769466187,lake,16.1271,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
kleiner wannsee,52.41677188540584,13.162966850386482,lake,19.1545,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
stolpchensee,52.40898715575846,13.14061685672986,lake,8.8915,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
glienicker see,52.41099031949351,13.0927851111169,lake,18.5342,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
großer wannsee,52.42787412957565,13.172864320424749,lake,142.2427,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
pohlesee,52.4114025320605,13.15033137220502,lake,10.4899,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
krumme lanke,52.45187691561159,13.233655303934386,lake,12.5943,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
waldsee,52.44142311016278,13.23508592032435,lake,2.5701,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
plotzensee,52.54410485763261,13.33000649512172,lake,7.7413,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
grimnitzsee,52.51471140311142,13.200519683057104,lake,6.1466,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
mowensee,52.5537807343994,13.333818456670215,lake,1.2291,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
entenpfuhl,52.5559430327476,13.330302413373117,lake,0.2046,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
sperlingsee,52.555260085215,13.331307493633886,lake,0.2924,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
teufelssee,52.49111082759412,13.23359402299036,lake,2.2119,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
garibalditeich,52.58670238885292,13.361240115730151,pond,0.5514,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
nordhafen,52.53679663572566,13.363656060742532,lake,3.8944,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
bitburgerteich,52.56392194664715,13.4808183532172,pond,0.1407,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
orankesee,52.548826014545966,13.48232983455069,lake,3.9742,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
borsighafen,52.581882080866755,13.276197674477649,lake,4.6342,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
ehemalige tongrube,52.61636638908572,13.323754005285071,pond,0.3372,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
ziegeleisee,52.61712324199735,13.334497604539258,lake,4.4525,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
sprintwiesenteich,52.62215279852616,13.363203318379622,pond,0.8008,OSM waterbodies (Berlin),2025-11-12 10:22:47.569398,Dämeritzsee,In-situ measurement
