centroid_lon,centroid_lat,source
13.278930382099784,52.5438561726823,OSM lakes
13.219207081051987,52.55021274504266,OSM lakes
13.28068380664286,52.48613076481304,OSM lakes
13.681003001383678,52.38677359282343,OSM lakes
13.625819492700556,52.400747119279224,OSM lakes
13.342409843277231,52.511382596608854,OSM lakes
13.360881486397284,52.56442907729419,OSM lakes
13.540301000022128,52.529139119876554,OSM lakes
13.112259399844673,52.46537373970797,OSM lakes
13.127598056517185,52.43629415166612,OSM lakes
13.489121497880472,52.548601247220105,OSM lakes
13.641019635973793,52.35693290759696,OSM lakes
13.308928578658268,52.597672433485215,OSM lakes
13.212941487280196,52.51928350862598,OSM lakes
13.417134638368406,52.43427708454176,OSM lakes
13.35709969438216,52.602840458246995,OSM lakes
13.348096120666227,52.60222959590978,OSM lakes
13.345042799933086,52.61014370627981,OSM lakes
13.253471701300288,52.5753345918419,OSM lakes
13.346793634071378,52.517047955344935,OSM lakes
13.280127116610116,52.494315626758585,OSM lakes
13.078208920004815,52.4244340165068,OSM lakes
-72.77309222770202,41.57946073722491,OSM lakes
13.593828813362569,52.492676789950025,OSM lakes
13.591295381115524,52.50012760849457,OSM lakes
13.57419067997098,52.51641234591163,OSM lakes
13.276153410607732,52.48829842740981,OSM lakes
13.333949724014204,52.448079693088054,OSM lakes
13.2346934994719,52.55242795290837,OSM lakes
13.413003319651931,52.43365733078489,OSM lakes
13.443544660781578,52.49512538205048,OSM lakes
13.235741385204127,52.55966784122973,OSM lakes
13.193265348661964,52.5153345857461,OSM lakes
13.612179417682071,52.499719410732624,OSM lakes
-72.75400361907701,41.64094592180042,OSM lakes
13.524471414534714,52.50325845891236,OSM lakes
-72.75749095609477,41.640083132195016,OSM lakes
13.146247471902392,52.53630185730726,OSM lakes
13.475775730648804,52.45546456441214,OSM lakes
13.21332272092438,52.44207569252094,OSM lakes
13.272907150781906,52.48847417795807,OSM lakes
13.314797053172644,52.4836854501231,OSM lakes
13.272662194080654,52.44722107288449,OSM lakes
13.289095643827729,52.50669504151929,OSM lakes
13.26783793671157,52.486347015502915,OSM lakes
13.258697879323416,52.48216791153722,OSM lakes
13.262394769466187,52.47004030743475,OSM lakes
13.162966850386482,52.41677188540584,OSM lakes
13.14061685672986,52.40898715575846,OSM lakes
13.0927851111169,52.41099031949351,OSM lakes
13.172864320424749,52.42787412957565,OSM lakes
13.15033137220502,52.4114025320605,OSM lakes
13.233655303934386,52.45187691561159,OSM lakes
13.23508592032435,52.44142311016278,OSM lakes
13.33000649512172,52.54410485763261,OSM lakes
13.200519683057104,52.51471140311142,OSM lakes
13.333818456670215,52.5537807343994,OSM lakes
13.330302413373117,52.5559430327476,OSM lakes
13.331307493633886,52.555260085215,OSM lakes
13.23359402299036,52.49111082759412,OSM lakes
13.361240115730151,52.58670238885292,OSM lakes
13.363656060742532,52.53679663572566,OSM lakes
13.4808183532172,52.56392194664715,OSM lakes
13.48232983455069,52.548826014545966,OSM lakes
13.276197674477649,52.581882080866755,OSM lakes
13.323754005285071,52.61636638908572,OSM lakes
13.334497604539258,52.61712324199735,OSM lakes
13.363203318379622,52.62215279852616,OSM lakes
13.370690682368902,52.62579218580716,OSM lakes
13.419646612521063,52.43565475834245,OSM lakes
13.1651980524292,52.54492242113781,OSM lakes
13.1297270765256,52.55543136188088,OSM lakes
13.21504433036829,52.604252265461575,OSM lakes
13.212378595935254,52.61526972582581,OSM lakes
13.250154332888195,52.514080413430946,OSM lakes
13.250047337772548,52.55840622852061,OSM lakes
13.247613814611478,52.55700505058471,OSM lakes
13.246845504678108,52.55845053597774,OSM lakes
13.341750797625012,52.56597663301063,OSM lakes
13.345185702582976,52.57737933486697,OSM lakes
13.34145135909272,52.48291563579905,OSM lakes
13.29055640594896,52.46587067882823,OSM lakes
13.146242533875112,52.548796940093354,OSM lakes
13.208499462331805,52.5146053692228,OSM lakes
13.215316828177892,52.47741205903203,OSM lakes
13.418286885671254,52.50578838929404,OSM lakes
13.325711567580976,52.579072115925456,OSM lakes
13.27158935697166,52.46438738894106,OSM lakes
13.3616763593158,52.45681701252365,OSM lakes
13.555183296817283,52.39940344346359,OSM lakes
13.655110256315725,52.34424519102591,OSM lakes
13.23021079654936,52.61204563097512,OSM lakes
13.444141483934548,52.450764044461216,OSM lakes
13.366360131620969,52.457828237174674,OSM lakes
13.32582851022448,52.44450147536891,OSM lakes
13.561620511589528,52.57624794016555,OSM lakes
13.215520764949686,52.48038666597781,OSM lakes
13.65640538459515,52.395324393139525,OSM lakes
13.307417580686208,52.4524798101563,OSM lakes
13.329998920291812,52.44867677746459,OSM lakes
13.337060097989433,52.44748716455488,OSM lakes
13.451244371806906,52.448646662331235,OSM lakes
13.411889748841311,52.43317697764108,OSM lakes
13.4195027314486,52.43060067779545,OSM lakes
13.56702038235139,52.43689083849404,OSM lakes
13.273175990452012,52.466907451134674,OSM lakes
13.436414951304249,52.44738278512544,OSM lakes
13.149205804689716,52.52907776200691,OSM lakes
13.513344111166658,52.4031372699822,OSM lakes
13.51054168117793,52.40786108116425,OSM lakes
13.507168058055544,52.40710807727741,OSM lakes
13.509210415855684,52.406586598842914,OSM lakes
13.358625067863766,52.41493680827585,OSM lakes
13.248399172628217,52.408173066616285,OSM lakes
13.531159568217475,52.561223583191264,OSM lakes
13.41041405131563,52.39060339123924,OSM lakes
