hotel,hotelLabel,ratingLabel,stars
http://www.wikidata.org/entity/Q111388540,Mercure Hotel Berlin City West,4-star hotel rating,4
http://www.wikidata.org/entity/Q111388547,Mercure Berlin Wittenbergplatz,4-star hotel rating,4
http://www.wikidata.org/entity/Q111388606,NH Berlin Alexanderplatz,4-star hotel rating,4
http://www.wikidata.org/entity/Q111390146,Aspria Berlin Ku'damm,4-star hotel rating,4
http://www.wikidata.org/entity/Q111390147,Landhaus Alpinia,4-star hotel rating,4
http://www.wikidata.org/entity/Q111390148,Provocateur Berlin,4-star hotel rating,4
http://www.wikidata.org/entity/Q111390149,Quentin Berlin Hotel am Kurfürstendamm,4-star hotel rating,4
http://www.wikidata.org/entity/Q111390154,Hyperion Hotel Berlin,4-star hotel rating,4
http://www.wikidata.org/entity/Q111390159,Dormero Hotel Berlin Ku'damm,4-star hotel rating,4
http://www.wikidata.org/entity/Q111390160,Hotel Indigo Berlin – Ku’Damm,4-star hotel rating,4
http://www.wikidata.org/entity/Q111390185,H+ Hotel Berlin Mitte,4-star hotel rating,4
http://www.wikidata.org/entity/Q111390186,Titanic Chaussee Berlin,4-star hotel rating,4
http://www.wikidata.org/entity/Q111390189,"Art'Otel Berlin Mitte, Part of Radisson Hotel Group",4-star hotel rating,4
http://www.wikidata.org/entity/Q111390197,Hotel Oderberger,4-star hotel rating,4
http://www.wikidata.org/entity/Q111390206,Hotel Müggelsee Berlin,4-star hotel rating,4
http://www.wikidata.org/entity/Q111851647,Hotel Villa Kastania,4-star hotel rating,4
http://www.wikidata.org/entity/Q111851648,Alte Feuerwache Berlin,4-star hotel rating,4
http://www.wikidata.org/entity/Q111851654,Numa Fast & Digital Check-in l Drift,4-star hotel rating,4
http://www.wikidata.org/entity/Q111851691,Ringhotel Seehof,4-star hotel rating,4
http://www.wikidata.org/entity/Q111851746,Schlosspark Hotel,4-star hotel rating,4
http://www.wikidata.org/entity/Q111852050,Garden Boutique Hotel,4-star hotel rating,4
http://www.wikidata.org/entity/Q111852338,Titanic Comfort Kurfürstendamm,4-star hotel rating,4
http://www.wikidata.org/entity/Q111852353,The Social Hub Berlin,4-star hotel rating,4
http://www.wikidata.org/entity/Q111853007,KPM Hotel & Residences,4-star hotel rating,4
http://www.wikidata.org/entity/Q111853025,Hotel the Yard,4-star hotel rating,4
