id,name,brand,operator,address,latitude,longitude,district,district_id,neighborhood,neighborhood_id,opening_hours,car_wash,compressed_air,wheelchair,fuel:diesel,fuel:octane_95,geometry_wkt
6306571281,unknown gas station,,Kaufland,,52.4995276,13.4961694,Lichtenberg,11011011,Friedrichsfelde,1101,24/7,,,,,,POINT (13.496169 52.499528)
6317613606,bike-energy Berlin,bike-energy,bike-energy,,52.429725,13.4556376,Neukölln,11008008,Gropiusstadt,0805,,,,,,,POINT (13.455638 52.429725)
6325461743,unknown gas station,,Allego,,52.4320061,13.3256248,Steglitz-Zehlendorf,11006006,Lichterfelde,0602,24/7,,,,,,POINT (13.325625 52.432006)
6343931164,unknown gas station,,Naturstrom AG,,52.4922193,13.3780892,Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,24/7,,,,,,POINT (13.378089 52.492219)
6343931165,unknown gas station,,Naturstrom AG,,52.4921016,13.3777147,Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,24/7,,,,,,POINT (13.377715 52.492102)
6343931167,unknown gas station,,Allego,,52.4898266,13.381067,Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,,,,,,,POINT (13.381067 52.489827)
6344550556,unknown gas station,,E.ON,,52.5304894,13.3914333,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.391433 52.530489)
6358890366,unknown gas station,,ecotap,,52.4446068,13.5750091,Treptow-Köpenick,11009009,Köpenick,0910,,,,,,,POINT (13.575009 52.444607)
6386181716,unknown gas station,,,,52.500328,13.2731017,Charlottenburg-Wilmersdorf,11004004,Westend,0405,24/7,,,,,,POINT (13.273102 52.500328)
6432892071,unknown gas station,,,,52.4346271,13.5350154,Treptow-Köpenick,11009009,Adlershof,0907,,,,,,,POINT (13.535015 52.434627)
6432892072,unknown gas station,,Schneider,,52.4345462,13.5351301,Treptow-Köpenick,11009009,Adlershof,0907,,,,,,,POINT (13.53513 52.434546)
6432892073,unknown gas station,,Schneider,,52.4345192,13.5351683,Treptow-Köpenick,11009009,Adlershof,0907,,,,,,,POINT (13.535168 52.434519)
6432892074,unknown gas station,,,,52.4346001,13.5350537,Treptow-Köpenick,11009009,Adlershof,0907,,,,,,,POINT (13.535054 52.4346)
6432892075,unknown gas station,,,,52.4345732,13.5350919,Treptow-Köpenick,11009009,Adlershof,0907,,,,,,,POINT (13.535092 52.434573)
6432892076,unknown gas station,,Schneider,,52.4345454,13.5352367,Treptow-Köpenick,11009009,Adlershof,0907,,,,,,,POINT (13.535237 52.434545)
6432892077,unknown gas station,,,,52.4345723,13.5351985,Treptow-Köpenick,11009009,Adlershof,0907,,,,,,,POINT (13.535198 52.434572)
