id,opening_hours,fee,geometry,latitude,longitude,atm_type,accessibility,address,name,district,neighborhood_id,neighborhood,district_id
2642056468,,,POINT (13.4755635 52.4230498),52.4230498,13.4755635,standalone,,"Joachim-Gottschalk-Weg, 21, 12353, Berlin",Sparkasse,Neukölln,0805,Gropiusstadt,11008008
2696505684,,,POINT (13.4507832 52.4892147),52.4892147,13.4507832,standalone,accessible,"Karl-Kunger-Straße, 44, 12435, Berlin",Volksbank,Treptow-Köpenick,0901,Alt-Treptow,11009009
2700971593,24/7,,POINT (13.4115979 52.5669738),52.5669738,13.4115979,indoor,,"Florastraße, 13187, Berlin",Berliner Sparkasse,Pankow,0307,Pankow,11003003
2723720954,,,POINT (13.3460693 52.5533099),52.5533099,13.3460693,standalone,partially accessible,"Müllerstraße, 13349, Berlin",Berliner Volksbank,Mitte,0105,Wedding,11001001
2728834717,,,POINT (13.1885018 52.5374046),52.5374046,13.1885018,standalone,,"Seegefelder Straße, 13583, Berlin",Berliner Volksbank,Spandau,0501,Spandau,11005005
2763458029,Mo-Fr 06:00-23:00; Sa-Su 08:00-23:00,,POINT (13.4711555 52.5302048),52.5302048,13.4711555,indoor,accessible,"Anton-Saefkow-Platz, 10369, Berlin",Ec,Lichtenberg,1111,Fennpfuhl,11011011
2778844779,24/7,,POINT (13.3710752 52.4698799),52.4698799,13.3710752,standalone,accessible,"Schöneberger Straße, 12101, Berlin",Ing,Tempelhof-Schöneberg,0703,Tempelhof,11007007
2782835451,,,POINT (13.3260696 52.6077648),52.6077648,13.3260696,standalone,partially accessible,"Oraniendamm, 6-10, 13469, Berlin",Euronet Atm,Reinickendorf,1207,Waidmannslust,11012012
2795454069,,,POINT (13.3384643 52.4635005),52.4635005,13.3384643,standalone,accessible,"Poschingerstraße, 15, 12157, Berlin",Berliner Sparkasse,Steglitz-Zehlendorf,0601,Steglitz,11006006
2796267608,24/7,,POINT (13.4432287 52.4995791),52.4995791,13.4432287,standalone,not accessible,"Falckensteinstraße, 10997, Berlin",Euronet,Friedrichshain-Kreuzberg,0202,Kreuzberg,11002002
2835567046,,,POINT (13.4389686 52.5404754),52.5404754,13.4389686,indoor,accessible,"Fußgängertunnel Greifswalder Straße, 10407, Berlin",Cashzone,Pankow,0301,Prenzlauer Berg,11003003
2836857301,,,POINT (13.4690635 52.5028416),52.5028416,13.4690635,standalone,accessible,"Hauptstraße, 10317, Berlin",Reisebank,Friedrichshain-Kreuzberg,0201,Friedrichshain,11002002
2850023401,,,POINT (13.354763 52.5991719),52.5991719,13.354763,standalone,partially accessible,"Senftenberger Ring, 17, 13439, Berlin",Deutsche Postbank Ag,Reinickendorf,1210,Märkisches Viertel,11012012
2850024501,,,POINT (13.354791 52.5990076),52.5990076,13.354791,standalone,,"Senftenberger Ring, 17, 13439, Berlin",Postbank,Reinickendorf,1210,Märkisches Viertel,11012012
2874762619,24/7,,POINT (13.3832393 52.5039661),52.5039661,13.3832393,standalone,accessible,"Stresemannstraße, 10963, Berlin",Euronet,Friedrichshain-Kreuzberg,0202,Kreuzberg,11002002
2895594850,,,POINT (13.1967087 52.5256001),52.5256001,13.1967087,standalone,accessible,"Pichelsdorfer Straße, 121, 13595, Berlin",unknown_atm,Spandau,0509,Wilhelmstadt,11005005
2899385819,,,POINT (13.2969435 52.5106654),52.5106654,13.2969435,indoor,not accessible,"Kaiserdamm, 14057, Berlin",Commerzbank,Charlottenburg-Wilmersdorf,0401,Charlottenburg,11004004
2900984444,,,POINT (13.3549769 52.4129996),52.4129996,13.3549769,standalone,accessible,"Hildburghauser Straße, 12279, Berlin",Berliner Volksbank,Tempelhof-Schöneberg,0705,Marienfelde,11007007
2955511131,,,POINT (13.2807164 52.5083113),52.5083113,13.2807164,standalone,,"Bredtschneiderstraße, 14057, Berlin",Ing-Diba,Charlottenburg-Wilmersdorf,0405,Westend,11004004
2972025729,,,POINT (13.3857161 52.4660316),52.4660316,13.3857161,standalone,,"Tempelhofer Damm, 12099, Berlin",Berliner Sparkasse,Tempelhof-Schöneberg,0703,Tempelhof,11007007
3081666038,,,POINT (13.337844 52.4881878),52.4881878,13.337844,standalone,accessible,"Grunewaldstraße, 54, 10825, Berlin",Euronet,Tempelhof-Schöneberg,0701,Schöneberg,11007007
3084536200,24/7,,POINT (13.2070341 52.529406),52.529406,13.2070341,standalone,,"Ruhlebener Straße, 13597, Berlin",Volksbank,Spandau,0501,Spandau,11005005
3128125465,,,POINT (13.3909962 52.5478425),52.5478425,13.3909962,standalone,accessible,"Ramlerstraße, 13355, Berlin",Ing,Mitte,0106,Gesundbrunnen,11001001
3158507188,24/7,,POINT (13.2840017 52.5754993),52.5754993,13.2840017,standalone,partially accessible,"Bernauer Straße, 69-73, 13507, Berlin",Postbank,Reinickendorf,1202,Tegel,11012012
3194288448,05:00-24:00,,POINT (13.2656563 52.4106222),52.4106222,13.2656563,standalone,partially accessible,"Andréezeile, 4a, 14165, Berlin",Berliner Sparkasse,Steglitz-Zehlendorf,0604,Zehlendorf,11006006
3252726510,Mo-Sa 08:00-22:00,,POINT (13.4167244 52.5845225),52.5845225,13.4167244,indoor,accessible,"Blankenburger Straße, 81, 13156, Berlin",Berliner Volksbank,Pankow,0311,Niederschönhausen,11003003
3255530743,24/7,,POINT (13.4245407 52.52849),52.52849,13.4245407,standalone,accessible,"Greifswalder Straße, 10405, Berlin",Berliner Sparkasse,Pankow,0301,Prenzlauer Berg,11003003
3266501562,24/7,fee applies,POINT (13.5504931 52.4303592),52.4303592,13.5504931,standalone,accessible,"Adlergestell, 12489, Berlin",Berliner Volksbank,Treptow-Köpenick,0907,Adlershof,11009009
3296728802,Mo-Sa 07:00-22:00,,POINT (13.5879809 52.4416229),52.4416229,13.5879809,standalone,accessible,"Pablo-Neruda-Straße, 12559, Berlin",Postbank,Treptow-Köpenick,0910,Köpenick,11009009
3300100066,,,POINT (13.4530799 52.5915164),52.5915164,13.4530799,indoor,accessible,"Bahnhofstraße, 13129, Berlin",Berliner Volksbank,Pankow,0303,Blankenburg,11003003
3307308279,,,POINT (13.6210011 52.5303935),52.5303935,13.6210011,standalone,accessible,"Riesaer Straße, 102, 12627, Berlin",unknown_atm,Marzahn-Hellersdorf,1005,Hellersdorf,11010010
3309688061,,,POINT (13.3362744 52.5057156),52.5057156,13.3362744,standalone,accessible,"Budapester Straße, 10787, Berlin",Berliner Sparkasse,Charlottenburg-Wilmersdorf,0401,Charlottenburg,11004004
3327848796,Mo-Fr 06:00-23:00; Sa-Su 08:00-23:00,,POINT (13.3401919 52.5265564),52.5265564,13.3401919,standalone,accessible,"Turmstraße, 10551, Berlin",Berliner Sparkasse,Mitte,0102,Moabit,11001001
3347781733,,,POINT (13.3817054 52.5137095),52.5137095,13.3817054,standalone,not accessible,"Wilhelmstraße, 82, 10117, Berlin",Sparda-Bank Berlin,Mitte,0101,Mitte,11001001
3354252145,,fee varies,POINT (13.3906054 52.5061318),52.5061318,13.3906054,standalone,partially accessible,"Friedrichstraße, 10969, Berlin",Berliner Sparkasse,Friedrichshain-Kreuzberg,0202,Kreuzberg,11002002
3354252146,,fee varies,POINT (13.3884412 52.4939287),52.4939287,13.3884412,indoor,not accessible,"Mehringdamm, 10961, Berlin",Berliner Sparkasse,Friedrichshain-Kreuzberg,0202,Kreuzberg,11002002
3377697124,,,POINT (13.2908315 52.4578748),52.4578748,13.2908315,standalone,,"Königin-Luise-Straße, 14195, Berlin",Berliner Volksbank,Steglitz-Zehlendorf,0605,Dahlem,11006006
3380514460,24/7,,POINT (13.4177253 52.5465579),52.5465579,13.4177253,standalone,accessible,"Stargarder Straße, 14, 10437, Berlin",Euronet,Pankow,0301,Prenzlauer Berg,11003003
3388516426,,,POINT (13.3493298 52.4811741),52.4811741,13.3493298,standalone,,"Dominicusstraße, 40, 10827, Berlin",Euronet Worldwide,Tempelhof-Schöneberg,0701,Schöneberg,11007007
3391907615,24/7,,POINT (13.2874796 52.4956919),52.4956919,13.2874796,standalone,not accessible,"Kurfürstendamm, 10711, Berlin",Ing-Diba,Charlottenburg-Wilmersdorf,0407,Halensee,11004004
3442988809,,,POINT (13.4022881 52.5247561),52.5247561,13.4022881,standalone,not accessible,"Sophienstraße, 10178, Berlin",Vöb-Zvd Bank,Mitte,0101,Mitte,11001001
3448398798,,,POINT (13.3464046 52.4800775),52.4800775,13.3464046,indoor,not accessible,"Hauptstraße, 10827, Berlin",Volksbank,Tempelhof-Schöneberg,0701,Schöneberg,11007007
3465129462,,,POINT (13.3445312 52.5317615),52.5317615,13.3445312,indoor,accessible,"Birkenstraße, 10559, Berlin",Berliner Sparkasse,Mitte,0102,Moabit,11001001
3502579188,,,POINT (13.5715093 52.4126756),52.4126756,13.5715093,standalone,,"Bruno-Taut-Straße, 12524, Berlin",Sparkassen-Finanzgruppe,Treptow-Köpenick,0908,Bohnsdorf,11009009
3518024339,,,POINT (13.4192487 52.5397323),52.5397323,13.4192487,standalone,not accessible,"Danziger Straße, 10435, Berlin",Cashzone,Pankow,0301,Prenzlauer Berg,11003003
3522336606,,,POINT (13.4488965 52.5648873),52.5648873,13.4488965,standalone,,"Wischbergeweg, 13089, Berlin",Ing,Pankow,0304,Heinersdorf,11003003
3525872276,24/7,,POINT (13.4234196 52.5372097),52.5372097,13.4234196,standalone,accessible,"Christburger Straße, 10405, Berlin",Euronet,Pankow,0301,Prenzlauer Berg,11003003
3530617023,24/7,,POINT (13.5252996 52.4921447),52.4921447,13.5252996,standalone,accessible,"Römerweg, 10318, Berlin",Berliner Sparkasse,Lichtenberg,1102,Karlshorst,11011011
