lake_name,natural_type,water_type,wikidata,centroid_lon,centroid_lat,area_ha,data_source,last_updated
Septimerbecken,water,pond,Q108514940,13.34175079762501,52.565976633010614,0.3080368875501431,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Schwanenteich,water,pond,,13.345185702582956,52.57737933486695,0.3798799107374541,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Ententeich,water,pond,Q115471087,13.341451359092716,52.48291563579904,0.2319577789094833,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Messelteich,water,pond,,13.290556405948966,52.465870678828246,0.05162164815335624,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Spektelake,water,lake,,13.146242533875116,52.548796940093446,7.436280490835334,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Toter Mantel,water,pond,,13.208499462331808,52.514605369222835,1.553931031807465,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Barssee,water,pond,Q16830574,13.215316828177892,52.47741205903204,0.8557930422938669,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Engelbecken,water,pond,,13.418286885671252,52.50578838929402,0.9160024091128919,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Koldischteich,water,pond,,13.32571156758098,52.57907211592546,0.5261634769407623,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Käuzchensteigteich,water,pond,,13.271589356971658,52.464387388941056,0.2065082684616742,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Havel,water,lake,,13.217482971493535,52.58697653320909,100.22828176775174,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Lindenhofweiher,water,pond,,13.361676359315807,52.456817012523686,0.9486257304634842,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Karpfenteich,water,pond,,13.329316380638142,52.41304410255309,0.5298007270862671,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Dorfteich Bohnsdorf,water,pond,,13.555183296817283,52.39940344346362,0.10852989485665003,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Großer Zug,water,lake,,13.655110256315686,52.344245191025884,101.865521083499,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Mittelfeldteich,water,pond,,13.23021079654936,52.61204563097515,0.42676090848366593,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Fennpfuhl,water,pond,,13.444141483934542,52.4507640444612,0.5339537406487386,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Krummer Pfuhl,water,pond,Q59786231,13.36636013162097,52.45782823717469,0.22650217081614088,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Bäketeich,water,pond,,13.325828510224483,52.444501475368874,0.4290870816215719,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Gehrensee,water,pond,Q1498553,13.56162051158953,52.57624794016555,1.0023589211255546,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Himmelsauge,water,pond,,13.215520764949689,52.480386665977846,0.021978348763802887,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Große Krampe,water,lake,Q1548245,13.656405384595113,52.39532439313947,68.00413613125656,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Amerikasee,water,pond,,13.307417580686215,52.452479810156305,0.3818838741758815,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Goebenteich,water,pond,,13.329998920291803,52.448676777464584,0.2855070486431454,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Restaurantteich,water,pond,,13.337060097989436,52.44748716455488,0.16126530085916982,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Krugpfuhl,water,pond,,13.451244371806911,52.44864666233125,0.05497125525010623,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Teichbach,water,pond,,13.411889748841329,52.43317697764111,0.0752357683114264,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kopfweidenpfuhl,water,pond,,13.419502731448604,52.430600677795425,0.09981864938940775,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Teich Vollkropfgraben,water,pond,,13.56702038235139,52.43689083849405,0.2679475337413531,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Pücklerteich,water,pond,,13.27317599045201,52.46690745113467,0.33740543538041806,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Britzer Kirchteich,water,pond,,13.436414951304236,52.44738278512541,0.7398361807201553,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Stieglakebecken,water,pond,,13.149205804689725,52.52907776200691,0.1886866176784986,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Ententeich,water,pond,Q133875781,13.443656100705535,52.51555905235846,0.058503263946432696,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Klarpfuhl,water,pond,Q59786180,13.51334411116665,52.403137269982174,0.2854850331937036,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Teich Rudow (Kleiner Röthepfuhl),water,pond,,13.510541681177932,52.40786108116426,0.09777857132379333,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Krummer Katzenpfuhl,water,pond,,13.507168058055546,52.407108077277414,0.07895103809959099,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Röthepfuhl,water,pond,,13.509210415855687,52.4065865988429,0.10775558176023581,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Klosterteich,water,pond,,13.358625067863771,52.414936808275826,0.07111028343956201,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Buschgraben,water,pond,,13.248399172628215,52.40817306661628,0.5573220519891091,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Hohenschönhausener See,water,pond,,13.531159568217486,52.5612235831913,0.8640888269268644,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Lichtenrader Dorfteich,water,pond,,13.41041405131563,52.39060339123927,0.8957160967231251,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Venusbassin,water,pond,Q131192370,13.370629232270812,52.514576177402276,0.3145078374129883,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Sinkende Mauer,water,pond,Q92041368,13.376338912406585,52.529303682953625,0.2284240487638282,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Fischtalteich,water,pond,,13.257197895346449,52.44426339266534,0.21069190425875578,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Lankegrabenteich,water,pond,,13.357876023446872,52.43667305067267,0.07168742554458538,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Triestparkteich,water,pond,,13.287369966575898,52.44925908964424,0.10571933998925381,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Kleiner Stadtparkteich,water,pond,,13.33485739600184,52.44918798974632,0.06464598359041254,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Grimnitz,water,lake,,13.646231906272236,52.37429286164384,9.52097537732897,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Wiesenbecken,water,lake,,13.160728000696093,52.53036084165197,0.359019788828431,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Eichenpfuhl,water,pond,,13.264899552316749,52.63674994235008,0.08555252857063955,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Nibelungenteich,water,pond,,13.278636526155706,52.63723544350848,0.12821379970126173,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Studententeich,water,pond,,13.284008330370263,52.45038655898901,0.054626916291795974,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Südsee,water,pond,,13.417779336318713,52.431998465594795,1.7384790185849373,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Krossinsee,water,lake,Q16216455,13.678091405729935,52.36329640935963,142.41353122413042,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Krummes Fenn,water,pond,Q115830614,13.230902544794166,52.42450198227714,0.41695545545438917,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Große Kaskade,water,pond,Q118244240,13.289166485998694,52.50338062478105,0.035220316146476964,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Waldteich im Botanischen Volkspark,water,pond,,13.393675868621685,52.605789705778754,0.13144739966264457,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Chinateich,water,pond,,13.305720153709133,52.45498885641097,0.02996962425749548,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Laake,water,pond,,13.489512071311596,52.60147380250795,0.12776654485018557,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Wuhlebecken,water,lake,Q655452,13.562739331998735,52.48196525727617,3.5663499465747113,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Klarensee,water,pond,,13.383257521390737,52.46300116041092,0.6422135446017964,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Amtsteich,water,pond,,13.599146618025438,52.44833164700485,0.10015940459875232,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Vierrutenteich,water,pond,,13.334414338630483,52.61231236946162,0.05769216846562736,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Bräuningbecken,water,pond,,13.334640510327477,52.61181159198606,0.13731254508509338,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Seerosenbecken,water,pond,,13.40545239235781,52.57875487146693,0.009939755964222433,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Türkenpfuhl,water,pond,,13.407916188971143,52.4411053622642,0.38483417675139253,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Wilhelmsteich,water,pond,Q59786232,13.382782879775206,52.46417941826411,0.16975590993213743,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Francketeich,water,pond,Q59786224,13.389766685584192,52.46100576923989,0.046120655704556035,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Hambuttenpfuhl,water,pond,,13.353280122177818,52.45029177035263,0.29079453105818276,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Buckower Dorfteich,water,pond,,13.431885411989722,52.42231819154544,0.24372630831581352,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Torfstich,water,pond,,13.488348337567148,52.582709637686314,0.2252642283220935,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Pilzteich,water,pond,,13.3030140017069,52.643430850983805,0.14955911619630735,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
Weißer See,water,lake,Q2557099,13.463586704802886,52.55420419415148,8.153985275030236,OSM waterbodies (Berlin),2025-11-25T10:52:02Z
