id,name,bakery_type,is_chain,brand_name,address,street,house_number,postal_code,phone,amenities,accessibility,opening_hours,sunday_opening,website,latitude,longitude,district,neighborhood,district_id,neighborhood_id,data_source
1082725831,Thoben,artisanal,False,,"Teltower Damm 13, postal_code    14169
postal_code      NaN
Name: 258, dtype: object Berlin",Teltower Damm,13,14169,,outdoor_seating,Fully Accessible,Mo-Fr 06:00-20:00; Sa 06:00-18:00; Su 09:00-16:00,True,http://www.thobens-backwaren.de/zehlendorf_steglitz_lankwitz/zehlendorf_teltower_damm_13,52.4337576,13.260107600000001,Steglitz-Zehlendorf,Zehlendorf,11006006,0604,OSM
1085305601,Harmonie,artisanal,False,,"Ystader Straße 16, postal_code    10437
postal_code      NaN
Name: 259, dtype: object Berlin",Ystader Straße,16,10437,,Standard Bakery,Partial Access,,,,52.547444000000006,13.4050441,Pankow,Prenzlauer Berg,11003003,0301,OSM
1095496816,Mein Brotkorb,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 260, dtype: object Berlin",,,,,Standard Bakery,Not Specified,Mo-Fr 07:00-18:30; Sa 07:00-13:00,,,52.5105494,13.2709311,Charlottenburg-Wilmersdorf,Westend,11004004,0405,OSM
1108712448,Schäfer's,chain,True,Schäfer's,"Königin-Luise-Straße 71, postal_code    14195
postal_code      NaN
Name: 261, dtype: object Berlin",Königin-Luise-Straße,71,14195,,Standard Bakery,Partial Access,,,https://www.schaefers-brot.de/,52.45902000000001,13.282944,Steglitz-Zehlendorf,Dahlem,11006006,0605,OSM
1113743885,Backmomente,artisanal,False,,"Koppenstraße 25, postal_code    10243
postal_code      NaN
Name: 262, dtype: object Berlin",Koppenstraße,25,10243,,Standard Bakery,Not Specified,Mo-Fr 06:00-18:30; Sa-So 6:00-17:30,,,52.51587059999999,13.4363228,Friedrichshain-Kreuzberg,Friedrichshain,11002002,0201,OSM
1119746020,Erva´s Backshop,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 263, dtype: object Berlin",,,,,Standard Bakery,Fully Accessible,,,,52.41344589999999,13.3143549,Steglitz-Zehlendorf,Lichterfelde,11006006,0602,OSM
1120057647,Brot & Feinbäckerei T. Lokocz / Fritz,artisanal,False,,"Blankenburger Straße 42, postal_code    13156
postal_code      NaN
Name: 264, dtype: object Berlin",Blankenburger Straße,42,13156,,Standard Bakery,Partial Access,Mo-Fr 07:00-18:00; Sa 07:00-11:00,,,52.5820124,13.4106782,Pankow,Niederschönhausen,11003003,0311,OSM
1142031151,Zuccherino,artisanal,False,,"Gleimstraße 20A, postal_code    NaN
postal_code    NaN
Name: 265, dtype: object Berlin",Gleimstraße,20A,,,outdoor_seating,Fully Accessible,Mo-Su 06:00-20:00,True,,52.54725549999999,13.4098839,Pankow,Prenzlauer Berg,11003003,0301,OSM
1145597641,"Backshop ""Emstaler Platz""",artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 266, dtype: object Berlin",,,,,Standard Bakery,Not Specified,"Mo-Fr 06:00-17:00, Sa,Su 06:00-14:00",True,,52.577377799999994,13.278393900000001,Reinickendorf,Tegel,11012012,1202,OSM
1155305511,BioLogisch,artisanal,False,,"Britzer Damm 100, postal_code    12347
postal_code      NaN
Name: 267, dtype: object Berlin",Britzer Damm,100,12347,,outdoor_seating,Fully Accessible,"Mo,Tu,Th,Fr 06:30-16:00; Sa 06:30-14:00; Su 08:00-14:00; We off",True,,52.4537643,13.4378584,Neukölln,Britz,11008008,0802,OSM
1158165824,Kamps,chain,True,Kamps,"An der Spandauer Brücke 10, postal_code    10178
postal_code      NaN
Name: 268, dtype: object Berlin",An der Spandauer Brücke,10,10178,,outdoor_seating,Fully Accessible,Mo-Fr 05:30-19:00; Sa 06:00-18:00; Su 07:00-18:00,True,,52.5225621,13.403827,Mitte,Mitte,11001001,0101,OSM
1170555186,Oder Brot,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 270, dtype: object Berlin",,,,,Standard Bakery,Not Specified,Mo-Fr 06:00-18:00; Sa 07:00-13:00,,,52.469564399999996,13.343396,Tempelhof-Schöneberg,Schöneberg,11007007,0701,OSM
1175152672,Damla,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 271, dtype: object Berlin",,,,,Standard Bakery,Not Specified,,,,52.4657787,13.4254059,Neukölln,Neukölln,11008008,0801,OSM
1181625812,East Side Bakery,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 272, dtype: object Berlin",,,,,outdoor_seating,Fully Accessible,Mo-Su 08:00-19:00,True,,52.50532599999999,13.4485193,Friedrichshain-Kreuzberg,Friedrichshain,11002002,0201,OSM
1182593490,Bäckerei Blank,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 273, dtype: object Berlin",,,,,Standard Bakery,Not Specified,Mo-Fr 07:00-17:00; Sa 07:00-12:00,,,52.5175778,13.4325404,Friedrichshain-Kreuzberg,Friedrichshain,11002002,0201,OSM
1182598714,Altberliner Bäckerei,chain,True,Udo Drescher,"Strausberger Straße 46, postal_code    10243
postal_code      NaN
Name: 274, dtype: object Berlin",Strausberger Straße,46,10243,,Standard Bakery,Not Specified,Mo-Fr 07:00-18:00; Sa 07:00-12:00; Su 08:00-11:00; PH off,True,,52.5218904,13.4325876,Friedrichshain-Kreuzberg,Friedrichshain,11002002,0201,OSM
1184599573,bakery & cafe,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 275, dtype: object Berlin",,,,,outdoor_seating,Partial Access,,,,52.483848099999996,13.4353022,Neukölln,Neukölln,11008008,0801,OSM
1196899443,Brot und Brötchen,artisanal,False,,"Karl-Marx-Straße 131, postal_code    12043
postal_code      NaN
Name: 276, dtype: object Berlin",Karl-Marx-Straße,131,12043,,Standard Bakery,Not Specified,Mo-Fr 06:30-19:30; Sa-Su 07:30-19:00,True,http://brotundbroetchen.de/filialen.html,52.477545899999996,13.4387821,Neukölln,Neukölln,11008008,0801,OSM
1198768532,Die Backstube,artisanal,False,,"Wassertorstraße 2, postal_code    10969
postal_code      NaN
Name: 277, dtype: object Berlin",Wassertorstraße,2,10969,+49 30 6143080,outdoor_seating,Not Specified,Mo-Fr 09:00-18:00; Sa 09:00-13:00,,,52.4990889,13.4117423,Friedrichshain-Kreuzberg,Kreuzberg,11002002,0202,OSM
1199283858,Ullstein Cafe,artisanal,False,,"nan nan, postal_code    NaN
postal_code    NaN
Name: 278, dtype: object Berlin",,,,,Standard Bakery,Partial Access,,,,52.4524525,13.3840009,Tempelhof-Schöneberg,Mariendorf,11007007,0704,OSM
1200964567,Thobenʼs Backwaren,artisanal,False,,"Kaiserdamm 21, postal_code    14057
postal_code      NaN
Name: 279, dtype: object Berlin",Kaiserdamm,21,14057,,Standard Bakery,Partial Access,Mo-Fr 06:00-18:00; Sa 06:00-14:00,,http://thobens-backwaren.de/charlottenburg/charlottenburg_kaiserdamm_21.shtml,52.51039930000001,13.2842664,Charlottenburg-Wilmersdorf,Westend,11004004,0405,OSM
