name,poi_type,brand,operator,opening_hours,address,latitude,longitude,district,district_id,neighborhood,neighborhood_id
unknown gas station,charging_station,,,,,52.47550189999999,13.3375742,Tempelhof-Schöneberg,07,Friedenau,Friedenau
unknown gas station,charging_station,,,,,52.45237699999999,13.422504399999998,Neukölln,08,Britz,Britz
unknown gas station,charging_station,,Mercedes-Benz,,,52.514606699999995,13.330550799999997,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
unknown gas station,charging_station,,Mercedes-Benz,,,52.51451689999999,13.330586299999998,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
unknown gas station,charging_station,,Mercedes-Benz,,,52.5145596,13.3305694,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
unknown gas station,charging_station,,Mercedes-Benz,,,52.51464849999999,13.3305295,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
unknown gas station,charging_station,Vattenfall InCharge,Vattenfall,,,52.4448563,13.510598,Treptow-Köpenick,09,Johannisthal,Johannisthal
unknown gas station,charging_station,,,24/7,,52.51422039999999,13.477427899999999,Lichtenberg,11,Lichtenberg,Lichtenberg
unknown gas station,charging_station,,,,,52.5571026,13.2258308,Spandau,05,Haselhorst,Haselhorst
unknown gas station,charging_station,,,,,52.4982065,13.376096499999997,Friedrichshain-Kreuzberg,02,Kreuzberg,Kreuzberg
unknown gas station,charging_station,,,,,52.4982289,13.376147899999998,Friedrichshain-Kreuzberg,02,Kreuzberg,Kreuzberg
unknown gas station,charging_station,enBW,EnBW Energie Baden-Württemberg AG,,,52.5068477,13.565883999999999,Marzahn-Hellersdorf,10,Biesdorf,Biesdorf
unknown gas station,charging_station,enBW,EnBW Energie Baden-Württemberg AG,,,52.5067898,13.565844899999998,Marzahn-Hellersdorf,10,Biesdorf,Biesdorf
unknown gas station,charging_station,enBW,EnBW Energie Baden-Württemberg AG,,,52.5067778,13.565883299999998,Marzahn-Hellersdorf,10,Biesdorf,Biesdorf
unknown gas station,charging_station,enBW,EnBW Energie Baden-Württemberg AG,,,52.50683639999999,13.5659239,Marzahn-Hellersdorf,10,Biesdorf,Biesdorf
unknown gas station,charging_station,,,,,52.4279894,13.464410399999998,Neukölln,08,Gropiusstadt,Gropiusstadt
unknown gas station,charging_station,,,24/7,13507,52.5940117,13.279324199999998,Reinickendorf,12,Tegel,Tegel
unknown gas station,charging_station,,,,,52.4473783,13.301598899999998,Steglitz-Zehlendorf,06,Lichterfelde,Lichterfelde
unknown gas station,charging_station,,Berliner Stadtwerke,,,52.448382300000006,13.3041903,Steglitz-Zehlendorf,06,Lichterfelde,Lichterfelde
unknown gas station,charging_station,TotalEnergies Marketing Deutschland GmbH,Tankstelle,,,52.45202809999999,13.3151191,Steglitz-Zehlendorf,06,Lichterfelde,Lichterfelde
unknown gas station,charging_station,MENNEKES Digital Services,Tankstelle,,,52.452051499999996,13.315092199999999,Steglitz-Zehlendorf,06,Lichterfelde,Lichterfelde
