name,poi_type,brand,operator,opening_hours,address,latitude,longitude,district,district_id,neighborhood,neighborhood_id
Aral,fuel_station,Aral,,24/7,,52.546314699999996,13.345598999999998,Mitte,01,Wedding,Wedding
Aral,fuel_station,Aral,Mike Seitz,24/7,"Beusselstraße 55, 10553 Berlin",52.53069430000001,13.3282249,Mitte,01,Moabit,Moabit
Bavaria petrol,fuel_station,,Bavaria Petrol,Mo-Fr 07:00-20:00; Sa 07:00-18:00,"Heilbronner Straße 14, 10711 Berlin",52.501974399999995,13.2944957,Charlottenburg-Wilmersdorf,04,Halensee,Halensee
Aral,fuel_station,Aral,,24/7,,52.4842654,13.3206691,Charlottenburg-Wilmersdorf,04,Wilmersdorf,Wilmersdorf
Esso,fuel_station,Esso,,"PH,Mo-Su 00:00-24:00","Kronprinzessinnenweg 120, 14129 Berlin",52.434640900000005,13.191704199999998,Steglitz-Zehlendorf,06,Nikolassee,Nikolassee
Esso,fuel_station,Esso,,,"Lessingstraße 4, 10555 Berlin",52.51972209999999,13.341421199999997,Mitte,01,Hansaviertel,Hansaviertel
Star,fuel_station,star,,,,52.5189572,13.302962499999998,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
Aral,fuel_station,Aral,Anne Notzke,24/7,"Messedamm 8-10, 14057 Berlin",52.508370199999995,13.2809474,Charlottenburg-Wilmersdorf,04,Westend,Westend
HEM,fuel_station,HEM,,,"Wittestraße 16, 13509 Berlin",52.57758270000001,13.306485400000001,Reinickendorf,12,Tegel,Tegel
Aral,fuel_station,Aral,Aral,24/7,"Westfälische Straße 9-10, 10709 Berlin",52.49240859999999,13.3091456,Charlottenburg-Wilmersdorf,04,Wilmersdorf,Wilmersdorf
Aral,fuel_station,Aral,Holger Klugmann,24/7,"Holzmarktstraße 12/14, 10179 Berlin",52.51385439999999,13.421875999999997,Mitte,01,Mitte,Mitte
Aral,fuel_station,Aral,Maciej Daniluk,24/7,"Vor dem Schlesischen Tor 2, 10997 Berlin",52.4972334,13.449873699999998,Friedrichshain-Kreuzberg,02,Kreuzberg,Kreuzberg
JET,fuel_station,JET,,,"Märkische Allee 246, 12679 Berlin",52.5519896,13.550112399999998,Marzahn-Hellersdorf,10,Marzahn,Marzahn
Total,fuel_station,TotalEnergies,Total,24/7,"Indira-Gandhi-Straße 106, 13053 Berlin",52.547562699999986,13.4680868,Lichtenberg,11,Alt-Hohenschönhausen,Alt-Hohenschönhausen
Hem,fuel_station,HEM,,,"Alt-Friedrichsfelde 61, 10315 Berlin",52.5096766,13.5313646,Lichtenberg,11,Friedrichsfelde,Friedrichsfelde
sun,fuel_station,sun,Germania Petrol GmbH,24/7,"Oranienburger Straße 181, 13437 Berlin",52.5987115,13.331956799999999,Reinickendorf,12,Wittenau,Wittenau
Esso,fuel_station,Esso,,24/7,"Holländerstraße 52, 13407 Berlin",52.56466519999999,13.3358283,Reinickendorf,12,Reinickendorf,Reinickendorf
AGIP ENI,fuel_station,Eni,,"Mo-Fr 06:00-21:00; Sa,Su 07:00-21:00","Belßstraße 51, 12249 Berlin",52.4274591,13.3649346,Steglitz-Zehlendorf,06,Lankwitz,Lankwitz
Shell,fuel_station,Shell,Shell,,"Streitstraße 19, 13587 Berlin",52.5588844,13.2085296,Spandau,05,Hakenfelde,Hakenfelde
JET,fuel_station,JET,Jet,"Mo-Fr 05:00-23:00; Sa,Su 06:00-23:00","Charlottenburger Chaussee 47, 13597 Berlin",52.52707410000001,13.2342804,Spandau,05,Spandau,Spandau
Aral,fuel_station,Aral,,"Mo-Su,PH 00:00-24:00",,52.4682682,13.3110209,Charlottenburg-Wilmersdorf,04,Wilmersdorf,Wilmersdorf
SB Tank,fuel_station,SB Tank,,,,52.5214343,13.5403704,Marzahn-Hellersdorf,10,Marzahn,Marzahn
Agip,fuel_station,Agip,,"Mo-Fr 05:30-22:00; Sa 06:00-22:00; PH,Su 06:30-22:00","Ahrensfelder Chaussee 152, 12689 Berlin",52.57214810000001,13.5650466,Marzahn-Hellersdorf,10,Marzahn,Marzahn
Sprint,fuel_station,Sprint,Sprint,,"Seegefelder Straße 41, 13583 Berlin",52.5359854,13.1911088,Spandau,05,Spandau,Spandau
Total,fuel_station,Total,,,"Bulgarische Straße 9, 12435 Berlin",52.483804499999984,13.478659299999999,Treptow-Köpenick,09,Plänterwald,Plänterwald
Aral,fuel_station,Aral,,,"Schöneberger Straße 20, 12103 Berlin",52.47002449999999,13.370989699999999,Tempelhof-Schöneberg,07,Tempelhof,Tempelhof
Total,fuel_station,Total,Total,24/7,"Späthstraße 158, 12359 Berlin",52.4531463,13.4570058,Neukölln,08,Britz,Britz
Star,fuel_station,star,Jennifer Bulst,24/7,"Altentreptower Straße 2, 12683 Berlin",52.51324919999999,13.5635805,Marzahn-Hellersdorf,10,Biesdorf,Biesdorf
Shell,fuel_station,Shell,,24/7,,52.61608439999999,13.3005814,Reinickendorf,12,Hermsdorf,Hermsdorf
SB-Tank,fuel_station,SB Tank,,,,52.5054346,13.5878738,Marzahn-Hellersdorf,10,Kaulsdorf,Kaulsdorf
Star,fuel_station,star,Orlen Deutschland,24/7,,52.50449259999999,13.6110566,Marzahn-Hellersdorf,10,Mahlsdorf,Mahlsdorf
Shell,fuel_station,Shell,Shell,,"Ruppiner Chaussee 339, 13503 Berlin",52.6205239,13.2358164,Reinickendorf,12,Heiligensee,Heiligensee
TotalEnergies,fuel_station,TotalEnergies,,,"Argentinische Allee 49, 14163 Berlin",52.44454300000001,13.242552199999999,Steglitz-Zehlendorf,06,Zehlendorf,Zehlendorf
Shell,fuel_station,Shell,Shell,"Mo-Su,PH 06:00-24:00","Potsdamer Chaussee 24, 14129 Berlin",52.429688600000006,13.223230999999998,Steglitz-Zehlendorf,06,Nikolassee,Nikolassee
Shell,fuel_station,Shell,Shell,24/7,"Karl-Marx-Straße 267, 12057 Berlin",52.4652723,13.443015799999998,Neukölln,08,Neukölln,Neukölln
JET,fuel_station,JET,,"Mo-Su,PH 00:00-24:00","Kreuzbergstraße 41, 10965 Berlin",52.489293999999994,13.374468099999998,Tempelhof-Schöneberg,07,Schöneberg,Schöneberg
Agip,fuel_station,Agip,Agip,"Mo-Fr 06:00-22:00; PH,Sa,Su 07:00-22:00","Alt-Mahlsdorf 93A, 12623 Berlin",52.5040082,13.619215,Marzahn-Hellersdorf,10,Mahlsdorf,Mahlsdorf
Total Alt Mahlsdorf,fuel_station,TotalEnergies,Total,,"Alt-Mahlsdorf 60, 12623 Berlin",52.5043627,13.624317599999998,Marzahn-Hellersdorf,10,Mahlsdorf,Mahlsdorf
HEM,fuel_station,HEM,,24/7,"Kaulsdorfer Straße 124,126, 12555 Berlin",52.4719674,13.571162099999999,Treptow-Köpenick,09,Köpenick,Köpenick
Jet,fuel_station,JET,,"Mo-Fr 05:00-23:00; Sa,Su 06:00-23:00","Bellevuestraße 14, 12555 Berlin",52.4542006,13.5923789,Treptow-Köpenick,09,Köpenick,Köpenick
HEM,fuel_station,HEM,,,"Attilastraße 124, 12105 Berlin",52.4490475,13.366135899999998,Tempelhof-Schöneberg,07,Tempelhof,Tempelhof
Aral,fuel_station,Aral,,24/7,"Britzer Damm 204, 12347 Berlin",52.44534259999998,13.4331109,Neukölln,08,Britz,Britz
Spreves,fuel_station,,,Mo-Su 00:00-24:00,"Friedrichshagener Straße 4, Berlin",52.45206199999999,13.5784714,Treptow-Köpenick,09,Köpenick,Köpenick
Shell,fuel_station,Shell,Shell,Mo-Su 06:00-22:00,"Rothenbachstraße 1, 13089 Berlin",52.571601599999994,13.429601900000002,Pankow,03,Heinersdorf,Heinersdorf
Esso,fuel_station,Esso,Uwe Schmidt,,"Chemnitzer Straße 179, 12621 Berlin",52.4895059,13.576018699999999,Marzahn-Hellersdorf,10,Kaulsdorf,Kaulsdorf
Jet,fuel_station,JET,,24/7,"Siegfriedstraße 179, 10365 Berlin",52.521361,13.4990227,Lichtenberg,11,Lichtenberg,Lichtenberg
Total,fuel_station,TotalEnergies,Total,24/7,"Tempelhofer Ufer 33-35, 10963 Berlin",52.5004782,13.3766736,Friedrichshain-Kreuzberg,02,Kreuzberg,Kreuzberg
Star,fuel_station,star,,Mo-Su 06:00-22:00,,52.60177209999999,13.243365899999999,Reinickendorf,12,Heiligensee,Heiligensee
BEHALA,fuel_station,,,,"Westhafenstraße 1, 13353 Berlin",52.53697339999999,13.3417491,Mitte,01,Moabit,Moabit
Total,fuel_station,TotalEnergies,André Rückmann,24/7,,52.4144679,13.5728652,Treptow-Köpenick,09,Grünau,Grünau
Esso,fuel_station,Esso,Frank Wilke,"PH,Mo-Su 00:00-24:00","Martin-Luther-Straße 67, 10779 Berlin",52.49011959999999,13.3454654,Tempelhof-Schöneberg,07,Schöneberg,Schöneberg
Star,fuel_station,star,,Mo-Su 06:00-22:00,"Teltower Damm 164, 14167 Berlin",52.419171099999986,13.2643834,Steglitz-Zehlendorf,06,Zehlendorf,Zehlendorf
Shell,fuel_station,Shell,,"PH,Mo-Su 06:00-22:00","Berliner Straße 83, 13189 Berlin",52.556368099999986,13.415022299999999,Pankow,03,Pankow,Pankow
JET,fuel_station,JET,,,"Storkower Straße 130, 10407 Berlin",52.53382950000001,13.4523516,Pankow,03,Prenzlauer Berg,Prenzlauer Berg
Sprint,fuel_station,Sprint,Sprint,,"Lietzenburger Straße 97, 10719 Berlin",52.4994455,13.319363800000001,Charlottenburg-Wilmersdorf,04,Wilmersdorf,Wilmersdorf
Sprint,fuel_station,Sprint,,Mo-Sa 06:00-22:00; Su 07:00-22:00,"Barnetstraße 67A, 12305 Berlin",52.39466769999999,13.4001754,Tempelhof-Schöneberg,07,Lichtenrade,Lichtenrade
HEM,fuel_station,HEM,,"Mo-Su,PH 06:00-22:00","Berliner Straße 140, 13467 Berlin",52.61345579999999,13.315217799999997,Reinickendorf,12,Hermsdorf,Hermsdorf
Star,fuel_station,star,Star,,,52.611056399999995,13.3189479,Reinickendorf,12,Waidmannslust,Waidmannslust
Esso,fuel_station,Esso,Mike Praum,24/7,"Wilhelmsruher Damm 160, 13435 Berlin",52.596489,13.347088199999998,Reinickendorf,12,Märkisches Viertel,Märkisches Viertel
HEM,fuel_station,HEM,,,,52.60881390000001,13.3277742,Reinickendorf,12,Waidmannslust,Waidmannslust
Star,fuel_station,star,Germania Petrol GmbH,24/7,"Gatower Straße 173, 13595 Berlin",52.50474049999998,13.180562599999998,Spandau,05,Wilhelmstadt,Wilhelmstadt
Orlen,fuel_station,Orlen,Orlen,,"Mariendorfer Damm 306, 12107 Berlin",52.42586019999999,13.3940775,Tempelhof-Schöneberg,07,Mariendorf,Mariendorf
Shell,fuel_station,Shell,Shell,,"Am Juliusturm 33, 13599 Berlin",52.5366708,13.221947399999998,Spandau,05,Haselhorst,Haselhorst
Star,fuel_station,star,ORLEN Deutschland GmbH,24/7,"Rhinstraße 47, 10315 Berlin",52.52267309999999,13.5188307,Lichtenberg,11,Lichtenberg,Lichtenberg
Aral,fuel_station,Aral,Aral,24/7,"Mühlenstraße 26, 13187 Berlin",52.56362099999999,13.407693399999998,Pankow,03,Pankow,Pankow
JET,fuel_station,JET,,24/7,"Kurt-Schumacher-Damm 36, 13405 Berlin",52.5612716,13.3241529,Reinickendorf,12,Reinickendorf,Reinickendorf
Shell,fuel_station,Shell,Shell,"Mo-Fr 05:00-22:00; Sa,Su 06:00-22:00","Karower Damm 35, 13129 Berlin",52.596738599999995,13.466367899999998,Pankow,03,Blankenburg,Blankenburg
Shell,fuel_station,Shell,Shell,Mo-Fr 05:30-23:30; Sa 06:00-23:30; Su 06:00-22:30,"Rudower Straße 102, 12351 Berlin",52.435960299999984,13.4653678,Neukölln,08,Buckow,Buckow
Sprint,fuel_station,Sprint,,"Mo-Su,PH 06:00-22:00","Gosener Damm 15, 12559 Berlin",52.41009700000001,13.6666753,Treptow-Köpenick,09,Müggelheim,Müggelheim
Aral,fuel_station,Aral,,,"Potsdamer Chaussee 6, 14163 Berlin",52.43306969999999,13.2375883,Steglitz-Zehlendorf,06,Zehlendorf,Zehlendorf
Aral,fuel_station,Aral,André Dymek,24/7,"Hauptstraße 86, 12159 Berlin",52.47405389999999,13.338757799999998,Tempelhof-Schöneberg,07,Schöneberg,Schöneberg
Esso,fuel_station,Esso,Esso,,,52.4255117,13.474243899999998,Neukölln,08,Gropiusstadt,Gropiusstadt
Aral,fuel_station,Aral,Anne Notzke,24/7,"Reichsstraße 13,14, 14052 Berlin",52.51355849999999,13.2661192,Charlottenburg-Wilmersdorf,04,Westend,Westend
Total Access,fuel_station,TotalEnergies,,"Mo-Fr 06:00-22:00; Sa,Su 07:00-22:00","Reichsstraße 86, 14052 Berlin",52.514861499999995,13.2624559,Charlottenburg-Wilmersdorf,04,Westend,Westend
Total,fuel_station,TotalEnergies,Total Deutschland GmbH,24/7,"Prenzlauer Allee 1, 10405 Berlin",52.5288716,13.4182496,Pankow,03,Prenzlauer Berg,Prenzlauer Berg
Total Station,fuel_station,TotalEnergies,,24/7,"Margarete-Sommer-Straße 2, 10407 Berlin",52.53077659999999,13.4411584,Pankow,03,Prenzlauer Berg,Prenzlauer Berg
unknown gas station,fuel_station,,Tyczka Totalgaz GmbH,,"Gradestraße 74-90, 12347 Berlin",52.4527676,13.426084299999998,Neukölln,08,Britz,Britz
Autogas Fernholz Apparat...,fuel_station,,,Mo-Fr 07:00-18:00; Sa 07:00-14:00,"Sophie-Charlotten-Straße, 14059 Berlin",52.521999999999984,13.285199999999998,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
Grit Jarling,fuel_station,,,,"Alt-Biesdorf, 12683 Berlin",52.5050686,13.5749451,Marzahn-Hellersdorf,10,Biesdorf,Biesdorf
BarMal Gas GmbH,fuel_station,,,,13125 Berlin,52.617928299999996,13.4499981,Pankow,03,Französisch Buchholz,Französisch
Streiber & Beetz,fuel_station,,,Mo-Fr 08:00-20:00; Sa 08:00-14:00,,52.5951184,13.2843913,Reinickendorf,12,Tegel,Tegel
Hager Autogas Service,fuel_station,,,Mo-Fr 09:00-18:00; Sa 09:00-14:00,13509 Berlin,52.5838443,13.31511,Reinickendorf,12,Borsigwalde,Borsigwalde
Aral,fuel_station,Aral,,"Mo-Su,PH 00:00-24:00","Pasewalker Straße 110, 13127 Berlin",52.58612440000001,13.4302149,Pankow,03,Französisch Buchholz,Französisch
Q1,fuel_station,Q1,Sven Noack,24/7,"Blankenburger Straße 36, 13156 Berlin",52.5818981,13.409864599999999,Pankow,03,Niederschönhausen,Niederschönhausen
Star,fuel_station,star,,Mo-Su 00:00-24:00,"Kaiser-Friedrich-Straße 102, 10585 Berlin",52.517358099999996,13.301193199999998,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
HEM,fuel_station,HEM,Hem,,,52.5678996,13.428380599999999,Pankow,03,Heinersdorf,Heinersdorf
Shell,fuel_station,Shell,,,,52.600985699999995,13.4324401,Pankow,03,Französisch Buchholz,Französisch
HEM,fuel_station,HEM,,,,52.56556439999999,13.472262,Pankow,03,Weißensee,Weißensee
Star,fuel_station,star,,24/7,,52.560815999999996,13.4667754,Pankow,03,Weißensee,Weißensee
Bft,fuel_station,bft,,,"Kladower Damm 332, 14089 Berlin",52.45766739999999,13.149322799999998,Spandau,05,Kladow,Kladow
SPREVES,fuel_station,,,"PH,Mo-Su 00:10-23:40","Hermsdorfer Damm 180, 13467 Berlin",52.619375399999996,13.304292399999998,Reinickendorf,12,Hermsdorf,Hermsdorf
JET,fuel_station,JET,JET,24/7,"Karl-Marx-Straße 259-263, 12057 Berlin",52.46576439999999,13.442994699999998,Neukölln,08,Neukölln,Neukölln
Esso,fuel_station,Esso,,,"Falkenseer Chaussee 50, 13583 Berlin",52.549072699999996,13.1789512,Spandau,05,Falkenhagener Feld,Falkenhagener Feld
Westfehling,fuel_station,,,Mo-Fr 05:00-22:00; Sa 07:00-22:00; Su 09:00-22:00,"Quitzowstraße 33, 10559 Berlin",52.5353743,13.3503177,Mitte,01,Moabit,Moabit
Aral,fuel_station,Aral,,24/7,"Neuköllner Straße 219, 12357 Berlin",52.428723299999994,13.479742899999998,Neukölln,08,Rudow,Rudow
unknown gas station,fuel_station,,,,,52.46501399999999,13.367204800000001,Tempelhof-Schöneberg,07,Schöneberg,Schöneberg
Shell,fuel_station,Shell,,,"Manteuffelstraße 6, 12103 Berlin",52.464546899999995,13.377083,Tempelhof-Schöneberg,07,Tempelhof,Tempelhof
Aral,fuel_station,Aral,Stephan Wendt,24/7,"Grenzallee 6, 12057 Berlin",52.4694612,13.4621154,Neukölln,08,Neukölln,Neukölln
Shell,fuel_station,Shell,,24/7,"Tempelhofer Weg 102, 12347 Berlin",52.4504263,13.434389,Neukölln,08,Britz,Britz
Sprint,fuel_station,Sprint,,Mo-Sa 06:00-22:00; Su 07:00-22:00,"Grüner Weg 75, 12359 Berlin",52.4383901,13.4526535,Neukölln,08,Buckow,Buckow
Esso,fuel_station,Esso,Echo Tankstellen GmbH,"Mo-Fr 06:00-20:00; Sa,Su 08:00-20:00","Buschkrugallee 84-92, 12359 Berlin",52.45579659999999,13.4493616,Neukölln,08,Britz,Britz
Esso,fuel_station,Esso,,,"Fürstenwalder Allee 100, 12589 Berlin",52.4366512,13.695959100000001,Treptow-Köpenick,09,Rahnsdorf,Rahnsdorf
TopTank,fuel_station,TopTank,Demet Tankal,Mo-Su 05:00-22:00,"Mariendorfer Damm 341, 12107 Berlin",52.42325230000001,13.3966119,Tempelhof-Schöneberg,07,Mariendorf,Mariendorf
Shell,fuel_station,Shell,Shell,,"Wendenschloßstraße 292, 12557 Berlin",52.429201499999984,13.583839699999999,Treptow-Köpenick,09,Köpenick,Köpenick
Shell,fuel_station,Shell,,,"Hultschiner Damm 129/131, 12623 Berlin",52.48657949999999,13.6038368,Marzahn-Hellersdorf,10,Mahlsdorf,Mahlsdorf
Total,fuel_station,TotalEnergies,,24/7,"Ribnitzer Straße 42, 13051 Berlin",52.56575399999999,13.4917345,Lichtenberg,11,Neu-Hohenschönhausen,Neu-Hohenschönhausen
Star,fuel_station,star,,Mo-Fr 06:00-22:00; Sa-Su 07:00-22:00,"Johannisthaler Chaussee 263, 12351 Berlin",52.431791399999994,13.4608631,Neukölln,08,Buckow,Buckow
Esso,fuel_station,Esso,Esso,24/7,"Heerstraße 285, 13595 Berlin",52.51492229999999,13.185024699999998,Spandau,05,Wilhelmstadt,Wilhelmstadt
Esso,fuel_station,Esso,,24/7,"Ruhlebener Straße 185, 13597 Berlin",52.527432,13.2102409,Spandau,05,Wilhelmstadt,Wilhelmstadt
Aral,fuel_station,Aral,Hendrik Bolt,24/7,"Falkenseer Damm 16, 13585 Berlin",52.5428548,13.1993023,Spandau,05,Spandau,Spandau
Elan,fuel_station,Elan,,24/7,"Tino-Schwierzina-Straße 37, 13089 Berlin",52.5583444,13.432698899999998,Pankow,03,Heinersdorf,Heinersdorf
Shell,fuel_station,Shell,,,"Oranienburger Straße 61, 13437 Berlin",52.58995029999999,13.3347971,Reinickendorf,12,Wittenau,Wittenau
Aral,fuel_station,Aral,Aral,,"Berliner Straße 24, 13507 Berlin",52.58424359999999,13.287805199999998,Reinickendorf,12,Tegel,Tegel
Aral,fuel_station,Aral,Aral,"Mo-Su,PH 00:00-24:00","Berliner Straße 67, 13507 Berlin",52.5815752,13.2912451,Reinickendorf,12,Tegel,Tegel
Shell,fuel_station,Shell,,24/7,"Ollenhauerstraße 101, 13403 Berlin",52.57089359999999,13.329992599999999,Reinickendorf,12,Reinickendorf,Reinickendorf
Agip,fuel_station,Agip,Eni Deutschland GmbH,,"Dannenwalder Weg 69, 13439 Berlin",52.59175989999999,13.3467762,Reinickendorf,12,Märkisches Viertel,Märkisches Viertel
Total,fuel_station,Total,,,"Habichtstraße 13, 13505 Berlin",52.58597439999999,13.231671299999999,Reinickendorf,12,Konradshöhe,Konradshöhe
Aral,fuel_station,Aral,,Mo-Su 06:00-22:00,"Residenzstraße 29, 13409 Berlin",52.56817739999999,13.3613138,Reinickendorf,12,Reinickendorf,Reinickendorf
Aral,fuel_station,Aral,,,"Märkische Allee 155, 12681 Berlin",52.53186670000001,13.5362442,Marzahn-Hellersdorf,10,Marzahn,Marzahn
Total,fuel_station,TotalEnergies,,24/7,"Landsberger Allee 526, 12681 Berlin",52.544888099999994,13.5689884,Marzahn-Hellersdorf,10,Marzahn,Marzahn
BarMalGas GmbH,fuel_station,BarMalGas GmbH,BarMalGas GmbH,24/7,"Rathausstraße 42, 12105 Berlin",52.44032819999999,13.381178199999999,Tempelhof-Schöneberg,07,Mariendorf,Mariendorf
Autogas 24h,fuel_station,,Linde,,,52.451974400000005,13.424506599999999,Neukölln,08,Britz,Britz
Esso,fuel_station,Esso,,,"Gneisenaustraße 106, 10961 Berlin",52.492754299999994,13.390368799999997,Friedrichshain-Kreuzberg,02,Kreuzberg,Kreuzberg
Sprint,fuel_station,Sprint,,05:00-23:00,"Residenzstraße 79, 13409 Berlin",52.5588705,13.370438199999999,Mitte,01,Gesundbrunnen,Gesundbrunnen
Elan,fuel_station,Elan,,,"Storkower Straße 116, 10407 Berlin",52.53538989999999,13.450805199999998,Pankow,03,Prenzlauer Berg,Prenzlauer Berg
Aral,fuel_station,Aral,Torsten Hauser,24/7,"Bismarckstraße 1-2, Berlin",52.5127625,13.3193169,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
Total,fuel_station,TotalEnergies,Total,24/7,"Jafféstraße 35,37, 14055 Berlin",52.50826709999999,13.2605921,Charlottenburg-Wilmersdorf,04,Westend,Westend
Propan Geppert,fuel_station,,,Mo-Fr 07:00-16:00; Sa 09:00-12:00,"Greinerstraße 10, 12107 Berlin",52.4352652,13.3706421,Tempelhof-Schöneberg,07,Mariendorf,Mariendorf
Sprint,fuel_station,Sprint,,24/7,"Mecklenburgische Straße 76, 10713 Berlin",52.4793052,13.313516,Charlottenburg-Wilmersdorf,04,Wilmersdorf,Wilmersdorf
Hans Engelke Energie,fuel_station,,Hans Engelke Energie,24/7,"Tempelhofer Weg 10, 12099 Berlin",52.45864780000001,13.422211799999998,Tempelhof-Schöneberg,07,Tempelhof,Tempelhof
Nordtanke,fuel_station,,NORD-TANKE GmbH,07:00-19:00,,52.5773118,13.3144029,Reinickendorf,12,Reinickendorf,Reinickendorf
Star,fuel_station,star,PKN Orlen,24/7,"Siegfriedstraße 170, 10365 Berlin",52.5243813,13.4990497,Lichtenberg,11,Lichtenberg,Lichtenberg
unknown gas station,fuel_station,Independent,,24/7,,52.45862279999999,13.397094899999999,Tempelhof-Schöneberg,07,Tempelhof,Tempelhof
Q1,fuel_station,Q1,Fast Forward GmbH,24/7,"Mariendorfer Damm 11-13, 12109 Berlin",52.45201209999999,13.3850451,Tempelhof-Schöneberg,07,Mariendorf,Mariendorf
Total,fuel_station,TotalEnergies,Total,24/7,"Britzer Damm 60, 12347 Berlin",52.456851099999994,13.4364,Neukölln,08,Britz,Britz
Shell,fuel_station,Shell,Shell,24/7,"Sachsendamm 90-92, 10829 Berlin",52.47864669999999,13.355059799999998,Tempelhof-Schöneberg,07,Schöneberg,Schöneberg
Shell,fuel_station,Shell,Shell,24/7,"Kaiser-Friedrich-Straße 95, 10585 Berlin",52.515879899999995,13.301369199999998,Charlottenburg-Wilmersdorf,04,Charlottenburg,Charlottenburg
TotalEnergies,fuel_station,TotalEnergies,,Mo-Fr 05:00-22:00; Sa-Su 06:00-22:00,"Wackenbergstraße 2-6, 13156 Berlin",52.58297679999999,13.4045194,Pankow,03,Niederschönhausen,Niederschönhausen
Shell,fuel_station,Shell,Shell,24/7,"Letterhausweg 2, 13627 Berlin",52.5343192,13.283119999999998,Charlottenburg-Wilmersdorf,04,Charlottenburg-Nord,Charlottenburg-Nord
Aral,fuel_station,Aral,,,"Königstraße 58, 14109 Berlin",52.419102699999996,13.159006499999998,Steglitz-Zehlendorf,06,Wannsee,Wannsee
Total,fuel_station,TotalEnergies,,"Mo-Su,PH 00:00-24:00","Storkower Straße 174, 10369 Berlin",52.5274399,13.4579265,Lichtenberg,11,Fennpfuhl,Fennpfuhl
Jet,fuel_station,JET,,24/7,"Hauptstraße 70A, 13127 Berlin",52.60364419999999,13.4324571,Pankow,03,Französisch Buchholz,Französisch
Esso,fuel_station,Esso,Grit Irion,24/7,"Kaiser-Wilhelm-Straße 34, 12247 Berlin",52.43227809999999,13.338059799999998,Steglitz-Zehlendorf,06,Lankwitz,Lankwitz
Total,fuel_station,TotalEnergies,Susanne Rosin,"Mo-Fr 06:00-22:00; Sa,Su 07:00-22:00","Berliner Straße 15a, 14169 Berlin",52.436204799999985,13.2657305,Steglitz-Zehlendorf,06,Zehlendorf,Zehlendorf
Shell,fuel_station,Shell,,Mo-Su 06:00-23:00,"Mariendorfer Damm 170-172, 12107 Berlin",52.43606319999999,13.3884824,Tempelhof-Schöneberg,07,Mariendorf,Mariendorf
bft,fuel_station,bft,KP-Petrol GmbH,"Mo-Fr 06:00-22:00; Sa,Su,PH 08:00-22:00",,52.561748899999984,13.328822,Mitte,01,Wedding,Wedding
Shell,fuel_station,Shell,,"Mo-Su,PH 00:00-24:00","Prinzenallee 20, 13357 Berlin",52.5552146,13.384325199999997,Mitte,01,Gesundbrunnen,Gesundbrunnen
Jet,fuel_station,JET,Uta Melzer,24/7,"Prenzlauer Promenade 41-42, 13089 Berlin",52.5596259,13.428752099999999,Pankow,03,Heinersdorf,Heinersdorf
Shell,fuel_station,Shell,,,"Lindenstraße 21, 12555 Berlin",52.45524549999999,13.567475999999997,Treptow-Köpenick,09,Köpenick,Köpenick
Aral,fuel_station,Aral,Daniela Anton,24/7,"Drakestraße 26a, 12205 Berlin",52.44098089999999,13.2994657,Steglitz-Zehlendorf,06,Lichterfelde,Lichterfelde
Shell,fuel_station,Shell,,24/7,"Hohenzollerndamm 41-42, 10713 Berlin",52.488821,13.3066926,Charlottenburg-Wilmersdorf,04,Wilmersdorf,Wilmersdorf
Aral,fuel_station,Aral,,24/7,"Kaiser-Wilhelm-Straße 117, 12247 Berlin",52.43968329999999,13.3516616,Steglitz-Zehlendorf,06,Lankwitz,Lankwitz
Total,fuel_station,TotalEnergies,,,"Arnulfstraße 98-99, 12105 Berlin",52.455536099999996,13.3668986,Tempelhof-Schöneberg,07,Tempelhof,Tempelhof
Star,fuel_station,star,,Mo-Fr 06:00-22:00; Sa 07:00-22:00; Su 07:00-22:00,"Königsberger Straße 25A, 12207 Berlin",52.4300523,13.312740999999999,Steglitz-Zehlendorf,06,Lichterfelde,Lichterfelde
1. FC Union Zapfstelle,fuel_station,TotalEnergies,Total,,"Michael-Brückner-Straße 26-31, 12439 Berlin",52.4537797,13.5130338,Treptow-Köpenick,09,Niederschöneweide,Niederschöneweide
Sprint,fuel_station,Sprint,,Mo-Fr 06:00-22:00; Sa-Su 07:00-22:00,"Rudower Straße 148, 12351 Berlin",52.4329747,13.4709326,Neukölln,08,Buckow,Buckow
Shell,fuel_station,Shell,,"Mo-Fr 06:00-22:00; Sa,Su 07:00-22:00",Bahnhofstraße 1,52.38705039999999,13.4078226,Tempelhof-Schöneberg,07,Lichtenrade,Lichtenrade
JET,fuel_station,JET,,Mo-Sa 05:00-23:00,"Romain-Rolland-Straße 13A, 13089 Berlin",52.5644853,13.4474699,Pankow,03,Heinersdorf,Heinersdorf
Shell,fuel_station,Shell,Shell,"Mo-Fr 06:00-22:00; Sa,Su 07:00-22:00","Hauptstraße 90, 12159 Berlin",52.47599829999999,13.341218499999998,Tempelhof-Schöneberg,07,Schöneberg,Schöneberg
Aral,fuel_station,Aral,Mike Seitz,,"Hohenzollerndamm 97, 14199 Berlin",52.47596099999999,13.2791394,Charlottenburg-Wilmersdorf,04,Grunewald,Grunewald
