addr_city,addr_housenumber,addr_postcode,addr_street,capacity_raw,coord_raw,entity_type,lat,lon,name,name_key,operator,owner,phone,source,street,street_norm,website,wikidata_id
Berlin,71,12249,Kaiser-Wilhelm-Straße,,Point(13.29752433 52.43508667),cinema,52.43508667,13.29752433,Thalia Kino Berlin,thalia-kino-berlin,,,,wikidata,"Kaiser-Wilhelm-Straße 71, 12249 Berlin","Kaiser-Wilhelm-Straße 71, 12249 Berlin",https://thalia-berlin.de/,Q47047390
Berlin,93a,12203,Hindenburgdamm,,Point(13.31566472 52.4427629),cinema,52.4427629,13.31566472,Central-Lichtspiele,central-lichtspiele,,,,wikidata,"Hindenburgdamm 93a, 12203 Berlin","Hindenburgdamm 93a, 12203 Berlin",,Q47047889
Berlin,50,12205,Drakestraße,,Point(13.3154209 52.44180326),cinema,52.44180326,13.3154209,Der Spiegel,der-spiegel,,,,wikidata,"Drakestraße 50, 12205 Berlin","Drakestraße 50, 12205 Berlin",,Q47048017
Berlin,58a,12203,Hindenburgdamm,,Point(13.3153594 52.44770981),cinema,52.44770981,13.3153594,Die Brücke,die-br-cke,,,,wikidata,"Hindenburgdamm 58a, 12203 Berlin","Hindenburgdamm 58a, 12203 Berlin",,Q47048074
Berlin,101a,12203,Hindenburgdamm,,Point(13.3054316 52.4387066),cinema,52.4387066,13.3054316,Paulus-Zentrum,paulus-zentrum,,,,wikidata,"Hindenburgdamm 101a, 12203 Berlin","Hindenburgdamm 101a, 12203 Berlin",,Q47051965
Berlin,78,12207,Ostpreußendamm,,Point(13.32680333 52.4186779),cinema,52.4186779,13.32680333,Odeon-Lichtspiele,odeon-lichtspiele,,,,wikidata,"Ostpreußendamm 78, 12207 Berlin","Ostpreußendamm 78, 12207 Berlin",,Q47052263
Berlin,57,12203,Unter den Eichen,,Point(13.294993 52.446773),cinema,52.446773,13.294993,Rex-Lichtspiele,rex-lichtspiele,,,,wikidata,"Unter den Eichen 57, 12203 Berlin","Unter den Eichen 57, 12203 Berlin",,Q47052647
Berlin,139,12203,Gardeschützenweg,,Point(13.317916 52.44278086),cinema,52.44278086,13.317916,Rio-Lichtspiele,rio-lichtspiele,,,,wikidata,"Gardeschützenweg 139, 12203 Berlin","Gardeschützenweg 139, 12203 Berlin",,Q47052686
Berlin,48,12165,Schloßstraße,,Point(13.321137 52.454724),cinema,52.454724,13.321137,Adria-Filmbühne,adria-filmb-hne,,,,wikidata,"Schloßstraße 48, 12165 Berlin","Schloßstraße 48, 12165 Berlin",https://www.cineplex.de/berlin-titania/,Q47053623
Berlin,1a,12165,Albrechtstraße,,Point(13.3395427 52.4570682),cinema,52.4570682,13.3395427,Albrechtshof-Lichtspiele,albrechtshof-lichtspiele,,,,wikidata,"Albrechtstraße 1a, 12165 Berlin","Albrechtstraße 1a, 12165 Berlin",,Q47053747
Berlin,69,12157,Bismarckstraße,,Point(13.33995849 52.4621795),cinema,52.4621795,13.33995849,Allegro,allegro,,,,wikidata,"Bismarckstraße 69, 12157 Berlin","Bismarckstraße 69, 12157 Berlin",,Q47053775
Berlin,68,12157,Bismarckstraße,,Point(13.34348778 52.46181624),cinema,52.46181624,13.34348778,Apollo-Filmbühne,apollo-filmb-hne,,,,wikidata,"Bismarckstraße 68, 12157 Berlin","Bismarckstraße 68, 12157 Berlin",,Q47053798
Berlin,26,12157,Thorwaldsenstraße,,Point(13.33839828 52.46217778),cinema,52.46217778,13.33839828,Asta-Lichtspiele,asta-lichtspiele,,,,wikidata,"Thorwaldsenstraße 26, 12157 Berlin","Thorwaldsenstraße 26, 12157 Berlin",,Q47053834
