id,name,artwork_type,artist_name,street,neighborhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
12861139812,entengruppe,sculpture,"wurzer, poertzel, hertram",,0901,11009009,,stone,1972,,,,52.4932957,13.4588956
12861139815,welle,sculpture,unknown,,0903,11009009,,,,,,,52.4650343,13.4789524
12861139816,gärtnerbursche,statue,karl-heinz schamal,,0903,11009009,,bronze,1966,,,,52.4662939,13.4828564
12861139819,lesender jüngling,sculpture,gerhard thieme,,0904,11009009,,"bronze, sandstone",1968,,,,52.4403984,13.4982175
12864922157,spree space act 02,installation,constructlab,,0902,11009009,,,2024,,,,52.4864045,13.4841053
12864947111,re.use.um,installation,stefan shankland,,0902,11009009,,,2022,,,,52.4833717,13.4938745
12875112926,skulpturale giebel-linien,sculpture,odious,,1005,11010010,,,1993,,Q134612163,file:skulptur skulpturale giebel-linien gruppe odious alte hellersdorfer straße 38 berlin-hellersdorf 03.jpg,52.5363616,13.5921419
12875112927,skulpturale giebel-linien,sculpture,odious,,1005,11010010,,,1993,,Q134612158,file:skulptur skulpturale giebel-linien gruppe odious alte hellersdorfer straße 24 berlin-hellersdorf 02.jpg,52.5357273,13.5920877
12877058219,zwei zeichen für hellersdorf,sculpture,gisela genthner,,1005,11010010,,,1994,,Q134620666,file:skulptur zwei zeichen für hellersdorf gisela genthner hellersdorfer straße 203 berlin-hellersdorf.jpg,52.535213,13.597714
12877058220,zwei zeichen für hellersdorf,sculpture,gisela genthner,,1005,11010010,,,1994,,Q134620665,file:skulptur zwei zeichen für hellersdorf gisela genthner hellersdorfer straße 215 berlin-hellersdorf.jpg,52.53559,13.5991656
12894996786,spree space act 01,installation,constructlab,,0902,11009009,,,2023,,,,52.482262,13.4939629
12899661834,weiblicher akt,statue,robert metzkes,,0903,11009009,,bronze,1881,,,,52.4558631,13.4756476
12899661835,stehende barbara,statue,werner richter,,0903,11009009,,bronze,1975,,,,52.4550241,13.476098
12899661836,schlafende,sculpture,marguerite blume-cárdenas,,0903,11009009,,sandstone,1983,,,,52.454798,13.4760181
12899661837,komposition mit rehen,installation,iwan neschev,,0903,11009009,,copper,1966,,,,52.4552393,13.4747903
12899661838,der gießer,statue,hedwig jaenichen-woermann,,0903,11009009,,bronze,1964,,,,52.4554668,13.4764208
12914372275,vogel-haus,installation,sergej alexander dott,,0302,11003003,,,2006,,Q134889313,file:tierfiguren wohnanlage obersteiner weg gustav-adolf-straße berlin-weißensee 02.jpg,52.5603204,13.4487598
12914372276,fisch-haus,installation,sergej alexander dott,,0302,11003003,,,2006,,Q134889975,file:tierfiguren wohnanlage obersteiner weg gustav-adolf-straße berlin-weißensee 03.jpg,52.5600712,13.4490521
