geometry,artwork_type,material,name,tourism,image,wheelchair,wikidata,wikipedia,artist_name,name:da,name:en,start_date,subject:wikidata,subject:wikipedia,wikimedia_commons,source,toilets:wheelchair,website,heritage,heritage:operator,historic,image:0,lda:criteria,name:de,name:el,name:fr,name:he,name:lb,name:lt,name:ru,name:zh,ref:lda,statue,artist:wikidata,description,name:nl,note,memorial,description:de,addr:floor,artist:wikipedia,level,opening_hours,amenity,date,display,height,inscription,fenced,alt_name,architect,heritage:website,loc_name,direction,name:be,year,fountain,operational_status,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,contact:phone,contact:website,check_date,indoor,phone,support,visibility,old_name,man_made,format,was:image,layer,check_date:opening_hours,description:fr,drinking_water,end_date,natural,operator,sponsor,weight,width,name:pl,addr:full,colour,drinking_water:legal,emergency,network,pump,pump:status,pump:style,ref,wheelchair:description,access,url,bench,shelter_type,animal,artwork:group,name:ar,construction_date,fixme,aircraft:type,seamark:landmark:category,seamark:landmark:conspicuity,seamark:type,name:signed,opening_hours:signed,owner,min_height,reg_name,description:location,lit,location,name:it,note:en,wikimedia_commons:path,inscription:url,covered,leisure,highway,flickr,memorial:conflict,name:es,name:km,source:artist_name,sculpture,artwork_subject,inscription:de,inscription:en,inscription:tr,description:url,board_type,information,playground:theme,mapillary,buried:wikidata,map_location,stone,artwork_group,name:cs,description:en,brand,playground,name:tr,subject,inscription:zh,rer,detail,utility,operator:wikidata,survey:date,ref:schlossgutshofbritz,year_of_construction,denotation,type,contact:facebook,artist:website,alt_name:en,panoramax,official_name,addr:housename,building,building:levels,barrier,smoothness,surface,tunnel,area,name:ja,min_level,roof:shape,incline,ramp,water,backrest,power,ref:signed,website:de,geoglyph:language,handrail,step_count,tactile_paving,tactile_writing:braille:de,tactile_writing:embossed_printed_letters:de,building:colour,building:material,building:part
POINT (13.4607068 52.5937402),statue,,Löwe,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3982483 52.6031761),statue,wood,Zwei Schweine,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weltacker Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3354286 52.5087205),statue,bronze,Panzernashorn,artwork,File:Skulptur Hardenbergplatz 8 (Tierg) Panzernashorn&Rico Rensmeyer&2024.jpg,,Q130609857,,Rico Rensmeyer,,,2024,,,Category:Panzernashorn (Rico Rensmeyer),,,,,,,,,,,,,,,,,,animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.4225463 52.5197119),mosaic,,Café Moskau,artwork,,,Q105756510,,Bert Heller,,,1964,,,File:Mosaik Karl-Marx-Allee 34 (Mitte) Café Moskau Bert Heller 1964.jpg,,,,,,,,,,,,,,,,,,,Q827366,,,,,,,,,,,,,,,,Aus dem Leben der Völker der Sowjetunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.1789777 52.4216947),mosaic,,,artwork,,,,,,,,,,,File:Wannsee Mosaik 1.jpg,,,,,,,,,,,,,,,,,,,,Mosaik an der Tunnelwand,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.1799936 52.4208879),mosaic,,,artwork,,,,,,,,,,,File:Wannsee Mosaik 2.jpg,,,,,,,,,,,,,,,,,,,,Mosaik an der Tunnelwand,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.6209672 52.4547872),relief,,Elemente des kindlichen Spiels,artwork,,,Q111149284,,Erwin Damerow,,,,,,File:Relief wall Elemente des kindlichen Spiels Erwin Damerow Berlin.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.5570035 52.5535001),mural,,Turnhalle mit Sportpiktogrammen,artwork,,,Q123921053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3838354 52.5096168),mural,,Aufbau der Republik,artwork,,,,,Max Lingner,,,1950,,,File:Aufbau der Republik-panorama.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POINT (13.3932151 52.5480173),mural,,,artwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
