id,name,house_number,street,neighborhood_id,district_id,postal_code,website,opening_hours,wheelchair,fee,latitude,longitude
12468571319,galerie studio st. st.,,sander straße,0801,11008008,12047,,"fr,sa 20:00-00:00",,,52.492434,13.4243815
12534871079,station urbaner kulturen/ngbk hellersdorf,41,auerbacher ring,1005,11010010,12619,https://ngbk.de/en/besuch/station-urbaner-kulturen-ngbk-hellersdorf,thu+sat 15:00–19:00,,,52.5332266,13.6021834
12618409291,di galerie,,askanischer platz,0202,11002002,10963,,su 16:00-19:00,yes,False,52.5042965,13.3810922
12640881684,dorothée nilsson gallery,,potsdamer straße,0104,11001001,10785,,we-sa 12:00-18:00,,,52.5035288,13.3663999
12657933202,stern 5 zacken,,schwarza straße,0801,11008008,12055,,,,False,52.4728796,13.4528741
12700492001,hdk,3,schudoma straße,0801,11008008,12055,https://www.atelier-hdk.com,,,,52.4741128,13.4482507
12734386032,kommunale galerie im historischen keller,,reformations platz,0501,11005005,13597,,,,False,52.5385444,13.2044109
12766378846,miete strom gas,19,acker straße,0101,11001001,10115,,,,,52.5314578,13.3966521
12768473902,hilbertraum,31,reuter straße,0801,11008008,12047,https://hilbertraum.org/,fr 16:00-19:00; sa-su 14:00-19:00,,,52.4875662,13.4291842
12770039749,prideart berlin,7,söht straße,0602,11006006,12203,https://prideart.eu/,,,,52.43779,13.3083501
12819997131,polykiosk,,gips straße,0101,11001001,10119,,,,,52.5269231,13.4002113
12837777829,sternschuppen,,weydinger straße,0101,11001001,10178,https://www.volksbuehne.berlin/#/de/sternschuppen,,,,52.5266291,13.4124032
12844224052,galerie alte schule adlershof,,,0907,11009009,,,"tu,we,th 12:00-19:00; fr 12:00-17:00; sa 15:00-19:00",,False,52.4390018,13.5500841
12905548372,mountains,6,weydinger straße,0101,11001001,10178,https://mountains.gallery/,we-fr 12:00-18:00; sa-tu off,yes,False,52.5261535,13.4119057
12943284367,galeria azur,62,karl marx allee,0201,11002002,10243,https://galeriaazur.art/de/,tu-fr 12:00-18:00,,False,52.5178548,13.4312602
12961230601,polymedialer ponyhof,11,kienitzer straße,0801,11008008,12053,https://www.polymedialerponyhof.de/,,,,52.4772953,13.4370269
13071030779,kunstverein am rosa-luxemburg-platz e.v,45,rosa luxemburg straße,0101,11001001,10178,,,,,52.5271905,13.4105158
13098300269,atelier lile,,august straße,0101,11001001,10117,,,,,52.5261512,13.3916607
13105326337,ikono,6,rathaus straße,0101,11001001,10178,https://ikono.global/de/berlin,,,True,52.5204946,13.4112146
13144232435,galerie philippe bober,19,strausberger platz,0201,11002002,10243,https://www.galeriephilippebober.eu/,"""mit termin""",,False,52.5187148,13.4263937
13203279170,browse gallery,5,bergmann straße,0202,11002002,10961,https://browse.gallery,,,,52.4890892,13.3884384
13205169426,kunst orte berlin,79,schönhauser allee,0301,11003003,10439,,th-sa 13:00-19:00,,,52.5495391,13.4142537
13206808576,scope berlin,43,lübecker straße,0102,11001001,10559,,fr-sa 14:00-18:00,,,52.5280297,13.3451765
13206808577,kurt kurt,,lübecker straße,0102,11001001,10559,,,,,52.5284495,13.3455268
13278037601,atelier roman lipski,10,wiener straße,0202,11002002,10999,https://www.romanlipski.com/,,,,52.4985518,13.4278571
6807791,east side gallery,,mildred harnack straße,0201,11002002,10243,,24/7,,False,52.50445415,13.440839239027115
23695973,galerie & ateliers mikael andersen,,fehrbelliner straße,0301,11003003,10119,,,no,,52.5313899,13.410198465655661
24304736,haus am kleistpark,6-7,grunewald straße,0701,11007007,10823,,,,,52.49057965,13.357286812403121
24362579,alfred ehrhardt stiftung,75,august straße,0101,11001001,10117,http://www.alfred-ehrhardt-stiftung.de,tu-su 11:00-18:00; th 11:00-21:00,no,,52.5266031,13.39390729613578
26121688,kunstremise spandau,,viktoria ufer,0501,11005005,13597,,mo-fr 14:00-18:00,,,52.53711975,13.201190726192152
