technical_id,key,object_number,district_id,district,neighborhood,green_area_type,playground_name,playground_suffix,year_built,last_renovation_year,area_sqm,dedication,planning_area_number,planning_area_name,net_play_area_sqm,full_address,latitude,longitude,geometry,osm_name,distance_to_osm
00008100_0012dccb,00008100:0012dccb,17339,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Herbertstr. 10,Feurigstr. 5 (Nord),,,608.0,gewidmet,7200410.0,Feurigstraße,225.0,"Herbertstr. 10,Feurigstraße, Berlin, Germany",52.4861315,13.3585511,POINT (1487067.1061879245 6888506.098518776),,
00008100_0012d894,00008100:0012d894,17358,7,Tempelhof-Schöneberg,Friedenau,Spielplatz,Niedstr. 8,Unknown,,,798.0,gewidmet,7300517.0,Perelsplatz,299.0,"Niedstr. 8,Perelsplatz, Berlin, Germany",52.4724946,13.3308178,POINT (1483979.8493539074 6886013.596788318),,
00008100_0012d75b,00008100:0012d75b,00675,7,Tempelhof-Schöneberg,Tempelhof,Spielplatz,Germaniastr. 1,neben Durchgang Str. 20a,,1999.0,541.0,gewidmet,7400927.0,Rathaus Tempelhof,480.0,"Germaniastr. 1,Rathaus Tempelhof, Berlin, Germany",52.4655608,13.3895663,POINT (1490519.702458776 6884746.558866747),,37.14322064045917
00008100_0012dcc1,00008100:0012dcc1,17346,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Cranachstr. 25,"Peter-Vischer-Str. 10, Bolzplatz etc",,2005.0,1263.0,gewidmet,7300619.0,Grazer Platz,683.0,"Cranachstr. 25,Grazer Platz, Berlin, Germany",52.4644902,13.3424258,POINT (1485272.0460030357 6884550.942110653),,23.465006061175956
00008100_0012dcf1,00008100:0012dcf1,17293,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Crellestr. 47,Unknown,1985.0,2004.0,540.0,gewidmet,7200411.0,Julius-Leber-Brücke,459.0,"Crellestr. 47,Julius-Leber-Brücke, Berlin, Germany",52.4884741,13.3620345,POINT (1487454.8765021537 6888934.347979396),,
00008100_0012dcca,00008100:0012dcca,17332,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Brunhildstr. 1,Unknown,,,652.0,gewidmet,7200414.0,Hohenfriedbergstraße,440.0,"Brunhildstr. 1,Hohenfriedbergstraße, Berlin, Germany",52.4864841,13.3627556,POINT (1487535.148986965 6888570.5556792),,
00008100_0012dcd1,00008100:0012dcd1,17327,7,Tempelhof-Schöneberg,Schöneberg,Spielplatz,Mansteinstr. 11,Streetball etc,,2004.0,1278.0,gewidmet,7100206.0,Großgörschenstraße,613.0,"Mansteinstr. 11,Großgörschenstraße, Berlin, Germany",52.4919487,13.3668036,POINT (1487985.7702856963 6889569.579765513),,37.30210118118209
00008100_0012d8f3,00008100:0012d8f3,00640,7,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Riegerzeile,Unknown,,,304.0,gewidmet,7501029.0,Ringstraße,304.0,"Riegerzeile,Ringstraße, Berlin, Germany",52.44493,13.3787582,POINT (1489316.5502703332 6880977.799391286),,34.648158028640886
00008100_0012d88f,00008100:0012d88f,17364,7,Tempelhof-Schöneberg,Friedenau,Spielplatz,Handjerystr. 61,Unknown,1991.0,,1266.0,gewidmet,7300516.0,Odenwaldstraße,577.0,"Handjerystr. 61,Odenwaldstraße, Berlin, Germany",52.4729706,13.3326825,POINT (1484187.4268083896 6886100.585282632),,18.038547667890988
00008100_0012d925,00008100:0012d925,00656,7,Tempelhof-Schöneberg,Mariendorf,Spielplatz,Machonstr. 33-35,Unknown,,2006.0,807.0,gewidmet,7501030.0,Machonstraße,449.0,"Machonstr. 33-35,Machonstraße, Berlin, Germany",52.4467868,13.3822588,POINT (1489706.2352798043 6881316.920565905),,
