technical_id,key,object_number,district_id,district,neighborhood,green_area_type,playground_name,playground_suffix,year_built,last_renovation_year,area_sqm,dedication,planning_area_number,planning_area_name,net_play_area_sqm,full_address,latitude,longitude,geometry,osm_name,distance_to_osm
00008100_000e3850,00008100:000e3850,101011,6,Steglitz-Zehlendorf,Zehlendorf,Spielplatz,Ramsteinweg SP,Unknown,,,3459.0,gewidmet,6300525.0,Zehlendorf Süd,2719.17,"Ramsteinweg SP,Zehlendorf Süd, Berlin, Germany",52.4138817,13.2555575,POINT (1475601.9110809586 6875309.33435022),Abenteuerspielplatz Ramsteinweg SP,14.634447860389795
00008100_000a3249,00008100:000a3249,00780,4,Charlottenburg-Wilmersdorf,Halensee,Spielplatz,Hochmeisterplatz - Spielplatz,Spielplatz Hochmeisterplatz,,,3608.0,gewidmet,4500938.0,Hochmeisterplatz,3504.0,"Hochmeisterplatz - Spielplatz,Hochmeisterplatz, Berlin, Germany",52.4952412,13.3005371,POINT (1480609.0172490436 6890171.566059845),Spielplatz Hochmeisterplatz - Tausendundeine Nacht,4.936330406468922
00008100_0016d41a,00008100:0016d41a,70884,3,Pankow,Prenzlauer Berg,Spielplatz,Marienburger Str. 45,Winsstraße 49 und 50,,,8472.0,gewidmet,3701658.0,Christburger Straße,5609.0,"Marienburger Str. 45,Christburger Straße, Berlin, Germany",52.5354826,13.424535,POINT (1494412.4003364788 6897532.772462695),Abenteuerspielplatz an der Marie,13.980853198318359
00008100_0016d403,00008100:0016d403,70921,3,Pankow,Prenzlauer Berg,Spielplatz,Pappelallee 74/75,Unknown,,2015.0,2731.0,gewidmet,3601346.0,Gethsemanekirche,1826.0,"Pappelallee 74/75,Gethsemanekirche, Berlin, Germany",52.5438865,13.4143524,POINT (1493278.8784895274 6899070.91738879),Kletterfelsen-Spielplatz,22.186788294516877
00008100_0014bf3a,00008100:0014bf3a,330030,1,Mitte,Wedding,Spielplatz,Sparrplatz,Teil II; 30432,,,1882.0,gewidmet,1401047.0,Sparrplatz,1882.0,"Sparrplatz,Sparrplatz, Berlin, Germany",52.5418709,13.3605284,POINT (1487287.21821707 6898701.9802893065),Sparrplatz,13.52283886221065
00008100_0014b89a,00008100:0014b89a,213040,1,Mitte,Moabit,Spielplatz,Fritz-Schloß-Park,"""Seydlitzplatz""; 20349",,,3522.0,gewidmet,1200623.0,Stephankiez,2852.0,"Fritz-Schloß-Park,Stephankiez, Berlin, Germany",52.5288241,13.3563322,POINT (1486820.0993698034 6896314.292778011),Fritz-Schloß-Park,28.485508065168382
00008100_0014bb02,00008100:0014bb02,101020,1,Mitte,Mitte,Spielplatz,Köllnischer Park,Spielplatz Wusterhauser Bär 00261,1994.0,2021.0,887.0,gewidmet,1100312.0,Heine-Viertel West,591.0,"Köllnischer Park,Heine-Viertel West, Berlin, Germany",52.5130928,13.4144401,POINT (1493288.6412088699 6893436.259479895),Köllnischer Park,20.070189409005017
00008100_0014bf39,00008100:0014bf39,331020,1,Mitte,Wedding,Spielplatz,Pekinger Platz,30433,,,577.0,gewidmet,1401046.0,Nordufer,577.0,"Pekinger Platz,Nordufer, Berlin, Germany",52.5401117,13.3544186,POINT (1486607.0783922214 6898379.988703339),Pekinger Platz,20.403796854455152
00008100_0014b8b6,00008100:0014b8b6,216240,1,Mitte,Tiergarten,Spielplatz,Lützowplatz,20334,,,231.0,gewidmet,1100103.0,Lützowstraße,231.0,"Lützowplatz,Lützowstraße, Berlin, Germany",52.5047608,13.3525466,POINT (1486398.6883054562 6891912.341679851),Lützowplatz,7.9023166676840715
00008100_0014b900,00008100:0014b900,236100,1,Mitte,Tiergarten,Spielplatz,Magdeburger Platz,20361,,2021.0,1515.0,gewidmet,1100103.0,Lützowstraße,810.0,"Magdeburger Platz,Lützowstraße, Berlin, Germany",52.5035943,13.3605025,POINT (1487284.3350422587 6891699.012582122),Magdeburger Platz,2.7270677823975267
00008100_0014bb1a,00008100:0014bb1a,131120,1,Mitte,Mitte,Spielplatz,Invalidenpark,00385,,2021.0,2217.0,gewidmet,1100308.0,Charitéviertel,1904.0,"Invalidenpark,Charitéviertel, Berlin, Germany",52.5294948,13.3761275,POINT (1489023.7020859034 6896437.019910354),Invalidenpark,28.642428397271807
00008100_0014bf0f,00008100:0014bf0f,330020,1,Mitte,Wedding,Spielplatz,Sparrplatz,Spielplatz Teil I; 30483,,,1393.0,gewidmet,1401047.0,Sparrplatz,1393.0,"Sparrplatz ,Sparrplatz, Berlin, Germany",52.5418709,13.3605284,POINT (1487287.21821707 6898701.9802893065),Sparrplatz,13.52283886221065
00008100_0014ba4e,00008100:0014ba4e,330040,1,Mitte,Wedding,Spielplatz,Sparrplatz,Teil III (nördlich); 30966,,,240.0,gewidmet,1401047.0,Sparrplatz,240.0,"Sparrplatz ,Sparrplatz, Berlin, Germany",52.5418709,13.3605284,POINT (1487287.21821707 6898701.9802893065),Sparrplatz,13.52283886221065
