id,brand,shop,amenity,operator_original,brand_original,addr:street,addr:housenumber,addr:postcode,level,wheelchair_access,service_copy,service_print,service_app_operated,service_barcode_scanner,service_bluetooth,service_display_operated,service_label_printer,locker_type,service_parcel_mail_in,service_parcel_pickup,note,note_de,description,geometry,latitude,longitude,opening_hours,website,source,last_checked,data_source,operator,district,neighborhood_id,neighborhood
10686832002,Independent Retailer,,parcel_locker,Amazon,Amazon Locker,,,,,,,,,,,,,cabinet,returns_only,yes,,,,POINT (13.4869033 52.5200462),52.5200462,13.4869033,,,,,OpenStreetMap,Amazon,Lichtenberg,1103,Lichtenberg
10687967783,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,,yes,yes,,,,POINT (13.2142534 52.5613239),52.5613239,13.2142534,,,,,OpenStreetMap,DHL,Spandau,0507,Hakenfelde
10687967784,DHL,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,,yes,yes,,,,POINT (13.2154752 52.5604038),52.5604038,13.2154752,24/7,,,,OpenStreetMap,DHL,Spandau,0507,Hakenfelde
10688108880,Amazon,,parcel_locker,,Amazon Hub,,,,,,,,,,,,,,,,,,,POINT (13.4321334 52.5497502),52.5497502,13.4321334,,,,,OpenStreetMap,Unknown,Pankow,0301,Prenzlauer Berg
10689803837,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.4285846 52.5597847),52.5597847,13.4285846,,,,,OpenStreetMap,DHL,Pankow,0304,Heinersdorf
10692683449,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.3797308 52.4383331),52.4383331,13.3797308,,,,,OpenStreetMap,DHL,Tempelhof-Schöneberg,0704,Mariendorf
10696367787,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,yes,,,,,,,,cabinet,yes,yes,,,,POINT (13.5027616 52.5664766),52.5664766,13.5027616,,,,,OpenStreetMap,DHL,Lichtenberg,1109,Neu-Hohenschönhausen
10698684104,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,cabinet,yes,yes,,,,POINT (13.4346617 52.5500478),52.5500478,13.4346617,,,,,OpenStreetMap,DHL,Pankow,0301,Prenzlauer Berg
10722291015,Independent Retailer,,parcel_locker,DHL,DHL Packstation,,,,,,,,,,,,,,yes,yes,,,,POINT (13.5854812 52.4660634),52.4660634,13.5854812,,,,,OpenStreetMap,DHL,Treptow-Köpenick,0910,Köpenick
10722813096,Independent Retailer,,parcel_locker,,Amazon Hub,,,,,,,,,,,,,,,,,,,POINT (13.6148419 52.4548384),52.4548384,13.6148419,,,,,OpenStreetMap,Unknown,Treptow-Köpenick,0911,Friedrichshagen
