id,name,category,lat,lon,geometry,district,district_id,neighborhood,neighborhood_id,website,wheelchair
12374328540,Moritz Katz,memorial,52.4992602,13.42007,POINT (13.42007 52.4992602),Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,,
12374328541,Julia Katz,memorial,52.4992578,13.4200781,POINT (13.4200781 52.4992578),Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,,
12374328542,Miriam Ancer,memorial,52.4992931,13.4240193,POINT (13.4240193 52.4992931),Friedrichshain-Kreuzberg,11002002,Kreuzberg,0202,,
12379415197,Melli Beese-Boutard,memorial,52.445638,13.5052102,POINT (13.5052102 52.445638),Treptow-Köpenick,11009009,Johannisthal,0904,https://www.gedenktafeln-in-berlin.de/gedenktafeln/detail/amelie-melli-hedwig-beese-boutard/2483,
12379439157,Jacob und Wilhelm Grimm,memorial,52.5081919,13.3749865,POINT (13.3749865 52.5081919),Mitte,11001001,Tiergarten,0104,https://www.gedenktafeln-in-berlin.de/gedenktafeln/detail/brueder-grimm-jacob-ludwig-karl-grimm-/-wilhelm-karl-grimm/526,
12389823159,Unknown,memorial,52.5246574,13.4523966,POINT (13.4523966 52.5246574),Friedrichshain-Kreuzberg,11002002,Friedrichshain,0201,,
12389823160,Unknown,memorial,52.524662,13.4523882,POINT (13.4523882 52.524662),Friedrichshain-Kreuzberg,11002002,Friedrichshain,0201,,
12391286704,Rudolf Rocker,memorial,52.4434363,13.455587,POINT (13.455587 52.4434363),Neukölln,11008008,Britz,0802,https://www.stolpersteine-berlin.de/de/buschkrugallee/246/rudolf-rocker,
12391286705,Milly Witkop,memorial,52.4434309,13.4555899,POINT (13.4555899 52.4434309),Neukölln,11008008,Britz,0802,https://www.stolpersteine-berlin.de/de/buschkrugallee/246/milly-witkop,
12391286706,Elisabeth 'Betzi' Rosenthal,memorial,52.4430619,13.4557322,POINT (13.4557322 52.4430619),Neukölln,11008008,Britz,0802,https://www.stolpersteine-berlin.de/de/buschkrugallee/250/elisabeth-betzi-rosenthal,
